Class,activemq-4.1.0,activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-5.3.0,activemq-5.4.0,activemq-5.5.0,activemq-5.6.0,activemq-5.7.0,activemq-5.8.0,activemq-5.9.0,activemq-5.10.0,activemq-5.11.0,activemq-5.12.0,activemq-5.13.0,activemq-5.14.0,activemq-5.15.0,activemq-5.16.0,activemq-5.17.0,average
assembly/src/test/java/org/apache/activemq/usecases/StartAndStopBrokerTest.java,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.105263158
activemq-client/src/main/java/org/apache/activemq/openwire/v9/ReplayCommandMarshaller.java,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.052631579
activemq-unit-tests/src/test/java/org/apache/activemq/openwire/v3/ConsumerIdTest.java,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,2.789473684
activemq-unit-tests/src/test/java/org/apache/activemq/openwire/v6/ConnectionInfoTest.java,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,3.736842105
activemq-unit-tests/src/test/java/org/apache/activemq/perf/KahaDBDurableTransactedTopicTest.java,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,42,4.421052632
activemq-client/src/main/java/org/apache/activemq/wireformat/WireFormatFactory.java,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,1.105263158
activemq-core/src/test/java/org/apache/activemq/bugs/SlowConsumerTest.java,161,45,0,0,0,0,6,9,0,159,0,0,0,0,0,0,0,0,0,20
activemq-unit-tests/src/test/java/org/apache/activemq/broker/policy/DestinationCursorConfigTest.java,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,3.894736842
activemq-core/src/main/java/org/apache/activemq/util/ServiceListener.java,0,0,0,31,0,0,2,0,0,31,0,0,0,0,0,0,0,0,0,3.368421053
activemq-openwire-legacy/src/main/java/org/apache/activemq/openwire/v2/MarshallerFactory.java,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,5.736842105
activemq-core/src/test/java/org/apache/activemq/openwire/v2/ActiveMQTempTopicTest.java,56,42,0,0,0,0,2,0,0,46,0,0,0,0,0,0,0,0,0,7.684210526
activemq-core/src/main/java/org/apache/activemq/transport/InactivityIOException.java,11,3,0,0,0,0,2,0,0,46,0,0,0,0,0,0,0,0,0,3.263157895
activemq-core/src/test/java/org/apache/activemq/JMSExclusiveConsumerTest.java,11,57,0,0,0,0,2,0,0,152,0,0,0,0,0,0,0,0,0,11.68421053
activemq-openwire-legacy/src/main/java/org/apache/activemq/openwire/v3/MessageAckMarshaller.java,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,8.315789474
activemq-core/src/main/java/org/apache/activemq/command/ActiveMQStreamMessage.java,190,422,0,4,0,0,0,0,67,1159,0,0,0,0,0,0,0,0,0,96.94736842
activemq-ra/src/main/java/org/apache/activemq/ra/InboundContext.java,11,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1.052631579
kahadb/src/main/java/org/apache/kahadb/index/ListIndex.java,0,0,0,0,0,0,0,377,0,377,0,0,0,0,0,0,0,0,0,39.68421053
activemq-core/src/main/java/org/apache/activemq/command/DataArrayResponse.java,11,23,0,0,0,0,2,0,0,52,0,0,0,0,0,0,0,0,0,4.631578947
activemq-unit-tests/src/test/java/org/apache/activemq/ProducerFlowControlTest.java,0,0,0,0,0,0,0,0,0,348,0,0,0,0,0,0,50,13,20,22.68421053
activemq-broker/src/main/java/org/apache/activemq/broker/jmx/Log4JConfigView.java,0,0,0,0,0,0,0,0,0,0,0,0,286,0,0,0,0,0,98,20.21052632
activemq-core/src/test/java/org/apache/activemq/blob/FTPBlobUploadStrategyTest.java,0,0,0,0,136,114,0,0,0,78,0,0,0,0,0,0,0,0,0,17.26315789
activemq-unit-tests/src/test/java/org/apache/activemq/openwire/v9/PartialCommandTest.java,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.052631579
activemq-core/src/test/java/org/apache/activemq/xbean/MultipleTestsWithEmbeddedBrokerTest.java,11,18,0,0,0,0,8,0,0,58,0,0,0,0,0,0,0,0,0,5
activemq-unit-tests/src/test/java/org/apache/activemq/broker/jmx/PurgeTest.java,0,0,0,0,0,0,0,0,0,250,0,0,0,2,0,0,0,0,0,13.26315789
activeio/activeio-core/src/main/java/org/apache/activeio/packet/async/filter/AsyncWriteAsyncChannel.java,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.368421053
activemq-core/src/main/java/org/apache/activemq/network/jms/InboundTopicBridge.java,32,36,0,0,0,0,2,20,0,82,0,0,0,0,0,0,0,0,0,9.052631579
activemq-openwire-legacy/src/main/java/org/apache/activemq/openwire/v3/SessionInfoMarshaller.java,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,6.842105263
activemq-openwire-legacy/src/main/java/org/apache/activemq/openwire/v5/JournalQueueAckMarshaller.java,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,7.052631579
activemq-core/src/main/java/org/apache/activemq/transport/mqtt/MQTTProtocolConverter.java,0,0,0,0,0,0,0,628,53,631,0,0,0,0,0,0,0,0,0,69.05263158
activemq-core/src/test/java/org/apache/activemq/store/AutoStorePerDestinationTest.java,0,0,0,0,0,0,0,42,0,42,0,0,0,0,0,0,0,0,0,4.421052632
activeio/activeio-core/src/test/java/org/apache/activeio/packet/ByteArrayPacketTest.java,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.631578947
activemq-core/src/test/java/org/apache/activemq/usecases/TwoBrokerVirtualDestDinamicallyIncludedDestTest.java,0,0,0,0,0,0,173,74,0,229,0,0,0,0,0,0,0,0,0,25.05263158
activemq-unit-tests/src/test/java/org/apache/activemq/bugs/AMQ2870Test.java,0,0,0,0,0,0,0,0,0,204,64,0,0,0,0,0,0,0,6,14.42105263
activemq-core/src/main/java/org/apache/activemq/Closeable.java,11,32,0,0,0,0,2,0,0,40,0,0,0,0,0,0,0,0,0,4.473684211
activemq-core/src/test/java/org/apache/activemq/broker/store/DefaultStoreXARecoveryBrokerTest.java,11,3,0,0,0,0,2,50,0,0,0,0,0,0,0,0,0,0,0,3.473684211
activemq-unit-tests/src/test/java/org/apache/activemq/usecases/TwoBrokerQueueSendReceiveTest.java,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,3.157894737
activemq-core/src/test/java/org/apache/activemq/OnePrefetchAsyncConsumerTest.java,0,0,0,0,0,214,8,41,0,223,0,0,0,0,0,0,0,0,0,25.57894737
