Class,rel/1.2,rel/1.3,rel/1.4,rel/1.5,rel/1.6.0,rel/1.7.0,rel/1.8.0,rel/1.9.0,rel/1.10.0,rel/1.10.12,average
proposal/mutant/src/main/org/apache/ant/core/execution/BuildEventSupport.java,0,0,116,116,0,0,0,0,0,0,23.2
src/main/org/apache/tools/ant/taskdefs/optional/perforce/P4Counter.java,0,0,138,57,38,64,0,151,0,0,44.8
src/tests/junit/org/apache/tools/ant/util/regexp/RegexpTest.java,0,0,0,0,0,63,0,0,126,130,31.9
src/main/org/apache/tools/ant/util/LineOrientedOutputStreamRedirector.java,0,0,0,0,0,0,0,64,16,11,9.1
src/main/org/apache/tools/ant/Constants.java,0,16,0,16,0,0,0,0,0,0,3.2
src/main/org/apache/tools/ant/taskdefs/optional/junit/XMLConstants.java,0,106,24,36,5,113,1,2,0,16,30.3
src/main/org/apache/tools/ant/filters/util/ChainReaderHelper.java,0,0,0,235,88,86,184,28,1,255,87.7
src/tests/junit/org/apache/tools/ant/BuildFileRule.java,0,0,0,0,0,0,0,0,318,64,38.2
src/main/org/apache/tools/ant/taskdefs/optional/ccm/CCMCheck.java,0,0,184,82,75,68,0,0,1,52,46.2
src/tests/junit/org/example/junit/JUnit4Skippable.java,0,0,0,0,0,0,0,74,148,148,37
proposal/sandbox/junit/src/testcases/org/apache/tools/ant/taskdefs/optional/rjunit/ZipScannerTest.java,0,0,0,105,0,1,104,0,0,0,21
proposal/myrmidon/src/java/org/apache/ant/tasklet/JavaVersion.java,0,36,36,0,0,0,0,0,0,0,7.2
src/main/org/apache/tools/ant/taskdefs/optional/sitraka/bytecode/attributes/Exceptions.java,0,0,71,71,0,0,0,0,0,0,14.2
proposal/antfarm/tasks/org/apache/tools/ant/tasks/Javac.java,0,93,0,93,0,0,0,0,0,0,18.6
src/testcases/org/apache/tools/ant/taskdefs/optional/XsltTest.java,0,0,0,122,19,127,0,0,0,0,26.8
src/main/org/apache/tools/ant/taskdefs/optional/depend/ClassFileUtils.java,0,90,0,44,4,61,1,0,0,3,20.3
src/main/org/apache/tools/ant/filters/BaseParamFilterReader.java,0,0,0,111,11,61,0,0,1,4,18.8
src/main/org/apache/tools/mail/MailMessage.java,442,14,0,182,142,61,0,5,10,622,147.8
src/main/org/apache/tools/ant/types/Reference.java,97,2,2,14,10,143,0,0,0,12,28
src/main/com/oreilly/servlet/MailMessage.java,448,0,0,0,0,0,0,0,0,0,44.8
proposal/myrmidon/src/java/org/apache/ant/datatypes/DataTypeEngine.java,0,43,43,0,0,0,0,0,0,0,8.6
src/main/org/apache/tools/ant/taskdefs/optional/perforce/P4Edit.java,0,85,0,53,22,65,0,73,0,0,29.8
