Class,2.0.0,2.1.0,2.2.0,2.3.0,2.4.0,rel/2.5.0,average
src/java/org/apache/ivy/core/report/DownloadStatus.java,62,0,0,0,2,5,11.5
src/java/org/apache/ivy/util/CredentialsUtil.java,167,0,4,0,4,33,34.66666667
src/java/fr/jayasoft/ivy/event/resolve/StartResolveEvent.java,13,0,0,0,0,0,2.166666667
src/java/org/apache/ivy/core/sort/SimpleSortEngineSettings.java,46,0,0,0,5,2,8.833333333
src/java/fr/jayasoft/ivy/ant/IvyBuildNumber.java,224,0,0,0,0,0,37.33333333
test/java/fr/jayasoft/ivy/ant/IvyCacheFilesetTest.java,97,0,0,0,0,0,16.16666667
src/java/fr/jayasoft/ivy/ant/IvyInstall.java,131,0,0,0,0,0,21.83333333
src/java/org/apache/ivy/util/url/URLHandlerDispatcher.java,109,0,0,0,2,172,47.16666667
src/java/org/apache/ivy/plugins/parser/m2/PomModuleDescriptorBuilder.java,538,74,63,155,412,273,252.5
test/java/org/apache/ivy/plugins/resolver/URLResolverTest.java,353,0,0,88,46,347,139
src/java/org/apache/ivy/osgi/util/ZipUtil.java,0,0,0,66,0,10,12.66666667
src/java/org/apache/ivy/plugins/resolver/VfsResolver.java,61,0,0,0,0,10,11.83333333
src/java/org/apache/ivy/tools/analyser/JarModuleFinder.java,78,0,0,0,2,30,18.33333333
src/java/org/apache/ivy/ant/IvyReport.java,439,2,2,7,84,75,101.5
src/java/fr/jayasoft/ivy/resolver/ModuleEntry.java,37,0,0,0,0,0,6.166666667
src/java/org/apache/ivy/osgi/p2/P2Descriptor.java,0,0,0,87,139,17,40.5
src/java/fr/jayasoft/ivy/filter/Filter.java,11,0,0,0,0,0,1.833333333
src/java/fr/jayasoft/ivy/status/StatusManager.java,139,0,0,0,0,0,23.16666667
src/java/org/apache/ivy/core/module/id/MatcherLookup.java,0,0,0,0,153,86,39.83333333
test/java/fr/jayasoft/ivy/util/IvyPatternHelperTest.java,53,0,0,0,0,0,8.833333333
src/java/fr/jayasoft/ivy/util/CredentialsUtil.java,142,0,0,0,0,0,23.66666667
src/java/org/apache/ivy/plugins/conflict/LatestCompatibleConflictManager.java,311,0,0,631,142,127,201.8333333
test/java/org/apache/ivy/osgi/core/OsgiLatestStrategyTest.java,0,0,0,105,0,51,26
test/java/fr/jayasoft/ivy/external/m2/PomModuleDescriptorParserTest.java,202,0,0,0,0,0,33.66666667
src/java/org/apache/ivy/plugins/resolver/util/MDResolvedResource.java,35,0,0,0,0,2,6.166666667
test/java/org/apache/ivy/ant/IvyDependencyTreeTest.java,0,0,0,0,115,89,34
src/java/org/apache/ivy/osgi/updatesite/UpdateSiteDescriptor.java,0,0,0,43,10,2,9.166666667
src/java/org/apache/ivy/plugins/lock/LockStrategy.java,73,0,0,146,8,13,40
src/java/org/apache/ivy/osgi/repo/AbstractOSGiResolver.java,0,0,0,586,278,153,169.5
src/java/org/apache/ivy/plugins/repository/BasicResource.java,76,0,0,0,0,2,13
src/java/fr/jayasoft/ivy/resolver/VsftpResolver.java,55,0,0,0,0,0,9.166666667
src/java/fr/jayasoft/ivy/resolver/AbstractSshBasedResolver.java,113,0,0,0,0,0,18.83333333
test/java/org/apache/ivy/osgi/p2/P2DescriptorTest.java,0,0,0,0,235,28,43.83333333
src/java/fr/jayasoft/ivy/url/AbstractURLHandler.java,31,0,0,0,0,0,5.166666667
src/java/org/apache/ivy/ant/AntMessageLogger.java,136,0,34,14,10,18,35.33333333
src/java/org/apache/ivy/plugins/repository/file/FileResource.java,76,0,0,0,0,2,13
src/java/org/apache/ivy/util/EncrytedProperties.java,65,0,0,0,0,49,19
src/java/org/apache/ivy/plugins/conflict/FixedConflictManager.java,51,0,0,0,0,15,11
test/java/org/apache/ivy/plugins/conflict/LatestCompatibleConflictManagerTest.java,188,0,0,395,149,76,134.6666667
src/java/org/apache/ivy/osgi/p2/XMLInputParser.java,0,0,0,30,0,4,5.666666667
src/java/fr/jayasoft/ivy/circular/AbstractCircularDependencyStrategy.java,17,0,0,0,0,0,2.833333333
src/java/org/apache/ivy/tools/analyser/DependencyAnalyser.java,24,0,0,0,0,4,4.666666667
src/java/org/apache/ivy/ant/IvyAntVariableContainer.java,107,0,0,0,15,29,25.16666667
src/java/org/apache/ivy/plugins/matcher/Matcher.java,44,0,0,0,0,10,9
src/java/org/apache/ivy/plugins/resolver/ChainResolver.java,362,15,32,0,42,96,91.16666667
test/java/fr/jayasoft/ivy/parser/AbstractModuleDescriptorParserTester.java,107,0,0,0,0,0,17.83333333
src/java/org/apache/ivy/core/cache/CacheDownloadOptions.java,39,0,0,78,6,2,20.83333333
src/java/org/apache/ivy/osgi/core/BundleArtifact.java,0,0,0,0,48,2,8.333333333
src/java/org/apache/ivy/plugins/repository/file/FileRepository.java,138,0,0,12,4,27,30.16666667
src/java/org/apache/ivy/util/Configurator.java,765,0,0,0,63,221,174.8333333
src/java/fr/jayasoft/ivy/parser/ModuleDescriptorParser.java,34,0,0,0,0,0,5.666666667
src/java/fr/jayasoft/ivy/url/URLHandlerRegistry.java,43,0,0,0,0,0,7.166666667
src/java/org/apache/ivy/util/DefaultMessageLogger.java,51,0,0,0,0,4,9.166666667
test/java/org/apache/ivy/plugins/resolver/ResolverTestHelper.java,126,0,0,0,18,85,38.16666667
src/java/org/apache/ivy/ant/IvyCacheFileset.java,155,0,0,61,22,152,65
src/java/org/apache/ivy/core/cache/ModuleDescriptorWriter.java,30,0,0,0,4,4,6.333333333
test/java/org/apache/ivy/ant/IvyBuildListTest.java,602,0,0,592,3,54,208.5
src/java/fr/jayasoft/ivy/util/Credentials.java,66,0,0,0,0,0,11
src/java/org/apache/ivy/core/check/CheckEngine.java,138,0,0,0,19,56,35.5
src/java/fr/jayasoft/ivy/url/ApacheURLLister.java,156,0,0,0,0,0,26
src/java/org/apache/ivy/ant/IvyBuildNumber.java,282,116,6,2,52,44,83.66666667
src/java/fr/jayasoft/ivy/conflict/StrictConflictManager.java,42,0,0,0,0,0,7
src/java/org/apache/ivy/plugins/repository/url/URLRepository.java,137,5,0,7,4,56,34.83333333
test/java/org/apache/ivy/osgi/updatesite/UpdateSiteResolverTest.java,0,0,0,136,5,24,27.5
src/java/fr/jayasoft/ivy/latest/ComparatorLatestStrategy.java,57,0,0,0,0,0,9.5
src/java/org/apache/ivy/plugins/lock/FileBasedLockStrategy.java,230,0,0,462,268,66,171
src/java/fr/jayasoft/ivy/event/resolve/EndResolveDependencyEvent.java,28,0,0,0,0,0,4.666666667
src/java/org/apache/ivy/plugins/version/PatternVersionMatcher.java,99,0,0,0,0,26,20.83333333
src/java/org/apache/ivy/plugins/conflict/StrictConflictException.java,49,0,0,0,4,3,9.333333333
test/java/org/apache/ivy/core/resolve/ResolveTest.java,4516,372,394,358,2777,1653,1678.333333
src/java/org/apache/ivy/osgi/core/BundleInfoAdapter.java,0,0,0,330,144,70,90.66666667
src/java/org/apache/ivy/ant/IvyListModules.java,128,10,32,0,22,8,33.33333333
src/java/fr/jayasoft/ivy/status/Status.java,32,0,0,0,0,0,5.333333333
src/java/org/apache/ivy/osgi/obr/xml/RequirementAdapter.java,0,0,0,183,23,165,61.83333333
src/java/org/apache/ivy/core/pack/StreamPacking.java,0,0,0,0,35,2,6.166666667
src/java/fr/jayasoft/ivy/repository/sftp/SFTPRepository.java,234,0,0,0,0,0,39
test/java/fr/jayasoft/ivy/xml/OnlineXmlIvyConfigurationParserTest.java,43,0,0,0,0,0,7.166666667
src/example/multi-project/projects/list/src/list/ListFile.java,80,0,0,0,0,26,17.66666667
src/java/org/apache/ivy/util/ChecksumHelper.java,143,20,13,0,26,60,43.66666667
test/java/org/apache/ivy/ant/IvyPostResolveTaskTest.java,393,0,0,0,22,137,92
src/java/org/apache/ivy/core/pack/PackagingManager.java,0,0,0,0,115,21,22.66666667
src/java/org/apache/ivy/plugins/resolver/util/ResourceMDParser.java,34,0,0,0,4,4,7
src/example/dual/project/src/example/Hello.java,88,0,0,0,0,51,23.16666667
test/java/org/apache/ivy/plugins/report/XmlReportWriterTest.java,135,0,0,0,27,67,38.16666667
src/java/org/apache/ivy/ant/IvyDependencyTree.java,0,0,0,0,132,80,35.33333333
src/java/org/apache/ivy/osgi/repo/RepoDescriptor.java,0,0,0,142,119,10,45.16666667
src/java/org/apache/ivy/core/settings/NamedTimeoutConstraint.java,0,0,0,0,0,79,13.16666667
src/java/org/apache/ivy/plugins/lock/DeleteOnExitHook.java,0,0,0,54,0,13,11.16666667
test/java/fr/jayasoft/ivy/url/BasicURLHandlerTest.java,30,0,0,0,0,0,5
test/java/org/apache/ivy/ant/AntBuildTriggerTest.java,46,0,0,0,0,16,10.33333333
test/java/org/apache/ivy/util/url/HttpclientURLHandlerTest.java,46,0,32,0,45,147,45
test/java/org/apache/ivy/plugins/resolver/MirroredURLResolverTest.java,0,0,0,107,4,39,25
src/java/fr/jayasoft/ivy/resolver/CacheResolver.java,143,0,0,0,0,0,23.83333333
src/java/org/apache/ivy/osgi/core/OSGiManifestParser.java,0,0,0,102,7,22,21.83333333
test/java/org/apache/ivy/util/url/IvyAuthenticatorTest.java,0,0,0,0,0,119,19.83333333
src/java/org/apache/ivy/osgi/obr/filter/NotFilter.java,0,0,0,31,31,0,10.33333333
test/java/org/apache/ivy/core/cache/ModuleDescriptorMemoryCacheTest.java,167,0,0,0,109,81,59.5
src/java/org/apache/ivy/plugins/lock/AbstractLockStrategy.java,44,0,0,88,7,2,23.5
src/java/org/apache/ivy/core/resolve/ResolveEngine.java,1156,5,38,70,260,363,315.3333333
test/java/org/apache/ivy/ant/IvyInfoTest.java,68,0,35,0,6,41,25
src/java/fr/jayasoft/ivy/util/Message.java,213,0,0,0,0,0,35.5
test/java/org/apache/ivy/ant/IvyRetrieveBuildFileTest.java,36,0,0,72,4,27,23.16666667
src/java/org/apache/ivy/ant/PackageMapping.java,69,0,0,0,0,8,12.83333333
src/java/fr/jayasoft/ivy/version/AbstractVersionMatcher.java,48,0,0,0,0,0,8
src/java/fr/jayasoft/ivy/repository/ssh/SshResource.java,106,0,0,0,0,0,17.66666667
test/java/org/apache/ivy/osgi/core/ManifestParserTest.java,0,0,0,68,58,39,27.5
src/java/org/apache/ivy/core/sort/SortOptions.java,55,0,0,0,19,2,12.66666667
test/java/fr/jayasoft/ivy/ant/IvyConvertPomTest.java,40,0,0,0,0,0,6.666666667
src/java/org/apache/ivy/osgi/obr/OBRResolver.java,0,0,0,147,6,14,27.83333333
src/java/fr/jayasoft/ivy/version/PatternVersionMatcher.java,82,0,0,0,0,0,13.66666667
src/java/fr/jayasoft/ivy/repository/vfs/IvyWebdavConnectionManager.java,254,0,0,0,0,0,42.33333333
src/java/org/apache/ivy/plugins/repository/vsftp/VsftpResource.java,56,0,0,0,1,2,9.833333333
src/java/org/apache/ivy/ant/IvyCheck.java,98,0,0,0,0,14,18.66666667
test/java/fr/jayasoft/ivy/xml/XmlIvyConfigurationParserTest.java,353,0,0,0,0,0,58.83333333
src/java/org/apache/ivy/osgi/repo/ArtifactReportManifestIterable.java,0,0,0,0,172,44,36
src/java/fr/jayasoft/ivy/util/CopyProgressEvent.java,41,0,0,0,0,0,6.833333333
src/java/org/apache/ivy/core/event/download/NeedArtifactEvent.java,38,0,0,0,0,2,6.666666667
src/java/fr/jayasoft/ivy/repository/ResourceHelper.java,34,0,0,0,0,0,5.666666667
src/java/org/apache/ivy/core/module/descriptor/DefaultArtifact.java,157,0,0,0,49,6,35.33333333
src/java/org/apache/ivy/osgi/filter/OSGiFilterParser.java,0,0,0,0,217,52,44.83333333
src/java/org/apache/ivy/osgi/updatesite/xml/Archive.java,0,0,0,34,6,2,7
src/java/org/apache/ivy/util/cli/ParseException.java,24,0,0,0,0,3,4.5
src/java/org/apache/ivy/util/extendable/DefaultExtendableItem.java,39,0,0,0,1,4,7.333333333
src/java/fr/jayasoft/ivy/url/HttpClientHandler.java,326,0,0,0,0,0,54.33333333
src/java/org/apache/ivy/core/event/publish/PublishEvent.java,77,0,0,0,0,4,13.5
src/java/org/apache/ivy/core/event/retrieve/EndRetrieveArtifactEvent.java,0,31,0,62,3,2,16.33333333
test/java/org/apache/ivy/util/StringUtilsTest.java,40,0,0,0,11,21,12
src/java/org/apache/ivy/osgi/obr/xml/OBRXMLParser.java,0,0,0,362,179,61,100.3333333
src/java/org/apache/ivy/osgi/p2/P2CompositeParser.java,0,0,0,122,31,16,28.16666667
src/java/org/apache/ivy/plugins/parser/ParserSettings.java,56,3,7,0,14,21,16.83333333
src/java/org/apache/ivy/osgi/updatesite/UpdateSiteLoader.java,0,0,0,307,63,43,68.83333333
src/java/org/apache/ivy/util/AbstractMessageLogger.java,171,0,0,0,70,86,54.5
test/java/org/apache/ivy/plugins/resolver/VfsResolverTest.java,39,0,0,0,1,14,9
src/java/fr/jayasoft/ivy/ant/IvyArtifactProperty.java,123,0,0,0,0,0,20.5
src/java/org/apache/ivy/plugins/parser/ModuleDescriptorParser.java,67,0,2,0,3,28,16.66666667
test/java/fr/jayasoft/ivy/report/XmlReportOutputterTest.java,65,0,0,0,0,0,10.83333333
src/java/org/apache/ivy/plugins/repository/vfs/VfsRepository.java,216,0,0,0,0,66,47
src/java/fr/jayasoft/ivy/xml/XmlIvyConfigurationParser.java,335,0,0,0,0,0,55.83333333
src/java/org/apache/ivy/core/pack/ArchivePacking.java,0,0,0,0,32,2,5.666666667
test/java/fr/jayasoft/ivy/repository/vfs/VfsURI.java,153,0,0,0,0,0,25.5
src/java/org/apache/ivy/ant/IvyDependencyInclude.java,0,0,0,62,0,2,10.66666667
src/java/org/apache/ivy/core/check/CheckEngineSettings.java,29,0,0,0,0,2,5.166666667
src/java/org/apache/ivy/ant/IvyCleanCache.java,86,0,0,0,5,13,17.33333333
src/java/org/apache/ivy/plugins/matcher/NoMatcher.java,41,0,0,0,0,2,7.166666667
test/java/org/apache/ivy/util/url/ApacheURLListerTest.java,102,0,9,0,32,45,31.33333333
src/java/org/apache/ivy/osgi/obr/filter/UniOperatorFilter.java,0,0,0,70,70,0,23.33333333
src/java/org/apache/ivy/plugins/signer/bouncycastle/OpenPGPSignatureGenerator.java,0,0,176,352,71,57,109.3333333
src/java/org/apache/ivy/ant/IvyDeliver.java,422,11,22,3,38,87,97.16666667
src/java/fr/jayasoft/ivy/util/FileUtil.java,177,0,0,0,0,0,29.5
src/java/fr/jayasoft/ivy/resolver/BasicResolver.java,887,0,0,0,0,0,147.8333333
test/java/org/apache/ivy/osgi/updatesite/UpdateSiteAndIbiblioResolverTest.java,0,0,0,121,11,23,25.83333333
src/java/fr/jayasoft/ivy/latest/LatestRevisionStrategy.java,159,0,0,0,0,0,26.5
src/java/org/apache/ivy/core/settings/IvyPattern.java,33,0,0,0,0,2,5.833333333
src/example/multi-project/projects/find/src/find/FindFile.java,77,0,0,0,0,32,18.16666667
src/java/org/apache/ivy/core/module/id/ModuleRules.java,255,0,0,0,125,102,80.33333333
test/java/org/apache/ivy/plugins/resolver/BintrayResolverTest.java,0,0,0,0,261,74,55.83333333
src/java/org/apache/ivy/ant/MapperAdapter.java,0,0,0,42,8,2,8.666666667
src/java/org/apache/ivy/plugins/repository/ssh/SshResource.java,139,0,0,0,0,18,26.16666667
src/java/org/apache/ivy/core/repository/RepositoryManagementEngineSettings.java,24,0,0,48,0,4,12.66666667
src/java/fr/jayasoft/ivy/namespace/NamespaceRule.java,46,0,0,0,0,0,7.666666667
src/java/fr/jayasoft/ivy/repository/AbstractRepository.java,129,0,0,0,0,0,21.5
src/java/fr/jayasoft/ivy/ant/IvyFindRevision.java,86,0,0,0,0,0,14.33333333
src/java/fr/jayasoft/ivy/parser/AbstractModuleDescriptorParser.java,319,0,0,0,0,0,53.16666667
src/java/fr/jayasoft/ivy/util/MessageImpl.java,14,0,0,0,0,0,2.333333333
src/java/fr/jayasoft/ivy/AbstractArtifact.java,73,0,0,0,0,0,12.16666667
src/java/fr/jayasoft/ivy/filter/NotFilter.java,15,0,0,0,0,0,2.5
src/java/fr/jayasoft/ivy/matcher/PatternMatcher.java,20,0,0,0,0,0,3.333333333
src/java/org/apache/ivy/osgi/obr/filter/AndFilter.java,0,0,0,35,35,0,11.66666667
test/java/org/apache/ivy/osgi/core/ExecutionEnvironmentProfileLoaderTest.java,0,0,0,42,37,9,14.66666667
test/java/org/apache/ivy/plugins/resolver/DualResolverTest.java,156,0,0,0,27,113,49.33333333
src/java/org/apache/ivy/plugins/repository/LocalizableResource.java,0,0,0,0,38,4,7
src/java/org/apache/ivy/osgi/updatesite/xml/EclipsePlugin.java,0,0,0,59,0,2,10.16666667
src/java/org/apache/ivy/core/settings/Validatable.java,32,0,0,0,0,6,6.333333333
src/java/fr/jayasoft/ivy/DefaultPublishingDRResolver.java,13,0,0,0,0,0,2.166666667
test/java/fr/jayasoft/ivy/url/HttpclientURLHandlerTest.java,22,0,0,0,0,0,3.666666667
src/java/org/apache/ivy/util/cli/OptionBuilder.java,65,0,0,0,24,8,16.16666667
src/java/org/apache/ivy/core/retrieve/RetrieveReport.java,0,0,0,97,18,32,24.5
src/java/org/apache/ivy/core/sort/NonMatchingVersionReporter.java,36,0,0,0,0,8,7.333333333
src/java/fr/jayasoft/ivy/repository/vfs/IvyWebdavClientFactory.java,77,0,0,0,0,0,12.83333333
src/example/configurations/multi-projects/filter-framework/src/filter/ccimpl/CCFilter.java,73,0,0,0,0,18,15.16666667
src/java/org/apache/ivy/plugins/version/VersionMatcher.java,104,22,0,0,0,46,28.66666667
src/java/org/apache/ivy/core/event/resolve/ResolveDependencyEvent.java,56,0,0,0,7,2,10.83333333
src/java/org/apache/ivy/core/cache/DefaultRepositoryCacheManager.java,1109,95,82,225,620,406,422.8333333
src/java/org/apache/ivy/core/event/retrieve/RetrieveEvent.java,46,0,0,92,7,2,24.5
src/java/fr/jayasoft/ivy/filter/AndFilter.java,20,0,0,0,0,0,3.333333333
src/java/org/apache/ivy/util/HostUtil.java,53,0,0,0,10,6,11.5
src/java/fr/jayasoft/ivy/DefaultDependencyArtifactDescriptor.java,123,0,0,0,0,0,20.5
test/java/org/apache/ivy/plugins/repository/vfs/VfsRepositoryTest.java,276,0,0,0,0,203,79.83333333
test/java/org/apache/ivy/ant/IvyTaskTest.java,104,0,0,0,20,24,24.66666667
src/java/org/apache/ivy/osgi/util/DelegetingHandler.java,0,0,0,635,635,0,211.6666667
test/java/org/apache/ivy/osgi/updatesite/UpdateSiteLoaderTest.java,0,0,0,93,25,34,25.33333333
src/java/fr/jayasoft/ivy/ResolveData.java,96,0,0,0,0,0,16
test/java/org/apache/ivy/core/event/IvyEventFilterTest.java,109,0,0,0,17,19,24.16666667
src/java/fr/jayasoft/ivy/repository/TransferListener.java,16,0,0,0,0,0,2.666666667
src/example/multi-project/projects/size/src/size/FileSize.java,70,0,0,0,0,27,16.16666667
src/java/fr/jayasoft/ivy/latest/LatestLexicographicStrategy.java,48,0,0,0,0,0,8
src/java/org/apache/ivy/plugins/matcher/GlobPatternMatcher.java,102,0,0,0,18,22,23.66666667
src/java/org/apache/ivy/tools/analyser/RepositoryAnalyser.java,59,0,0,0,13,12,14
src/java/org/apache/ivy/ant/IvyConflict.java,0,0,0,77,0,16,15.5
src/example/ivyrep/src/example/Hello.java,35,0,0,0,0,0,5.833333333
src/java/org/apache/ivy/core/module/descriptor/ConfigurationGroup.java,0,72,0,144,15,20,41.83333333
src/java/fr/jayasoft/ivy/LatestStrategy.java,33,0,0,0,0,0,5.5
src/java/fr/jayasoft/ivy/ModuleId.java,65,0,0,0,0,0,10.83333333
src/java/org/apache/ivy/core/module/id/ModuleRevisionId.java,325,14,24,0,104,78,90.83333333
src/java/org/apache/ivy/core/module/descriptor/DefaultExtendsDescriptor.java,0,0,79,171,17,13,46.66666667
src/java/fr/jayasoft/ivy/util/ChecksumHelper.java,101,0,0,0,0,0,16.83333333
src/java/fr/jayasoft/ivy/latest/LatestTimeStrategy.java,26,0,0,0,0,0,4.333333333
src/java/fr/jayasoft/ivy/ant/PackageMapping.java,50,0,0,0,0,0,8.333333333
src/java/org/apache/ivy/core/retrieve/RetrieveOptions.java,133,0,16,44,29,46,44.66666667
test/java/org/apache/ivy/ant/IvyRetrieveTest.java,389,10,1,0,26,156,97
test/java/fr/jayasoft/ivy/ConfigureTest.java,43,0,0,0,0,0,7.166666667
src/java/org/apache/ivy/core/sort/SortEngine.java,116,0,4,16,39,17,32
src/java/org/apache/ivy/ant/IvyFindRevision.java,104,6,0,2,0,2,19
src/java/org/apache/ivy/plugins/latest/LatestRevisionStrategy.java,197,0,0,1,10,48,42.66666667
src/java/org/apache/ivy/plugins/repository/Resource.java,102,0,0,0,24,44,28.33333333
src/example/dependence/dependee/src/standalone/Main.java,64,0,0,0,0,10,12.33333333
src/java/org/apache/ivy/core/LogOptions.java,57,0,0,0,16,2,12.5
src/java/org/apache/ivy/osgi/obr/filter/MultiOperatorFilter.java,0,0,0,97,97,0,32.33333333
src/java/fr/jayasoft/ivy/ant/IvyConvertPom.java,63,0,0,0,0,0,10.5
test/java/org/apache/ivy/plugins/resolver/JarResolverTest.java,0,0,0,104,0,21,20.83333333
src/java/org/apache/ivy/core/search/SearchEngine.java,399,0,73,0,119,272,143.8333333
