Class,cassandra-0.4.0-final,cassandra-0.5.0,cassandra-0.6.0,cassandra-0.7.0,cassandra-0.8.0,cassandra-1.0.0,cassandra-1.1.0,cassandra-1.2.0,cassandra-2.0.0,cassandra-2.1.0,cassandra-2.2.0,cassandra-3.0.0,cassandra-3.1,cassandra-3.2,cassandra-3.3,cassandra-3.4,cassandra-3.5,cassandra-3.6,cassandra-3.7,cassandra-3.8,cassandra-4.0.0,cassandra-4.0.5,average
src/java/org/apache/cassandra/tools/nodetool/StatusThrift.java,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,36,0,3.272727273
test/unit/org/apache/cassandra/index/sasi/utils/LongIteratorTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,2.545454545
test/unit/org/apache/cassandra/utils/binlog/ExternalArchiverTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,12.18181818
drivers/java/test/org/apache/cassandra/cql/jdbc/PreparedStatementTest.java,0,0,0,0,384,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.90909091
src/java/org/apache/cassandra/transport/messages/UnsupportedMessageCodec.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,2.545454545
src/java/org/apache/cassandra/utils/AlwaysPresentFilter.java,0,0,0,0,0,0,0,39,24,3,22,6,0,0,0,0,0,0,0,0,0,0,4.272727273
src/java/org/apache/cassandra/db/marshal/ValueComparators.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,1.954545455
test/unit/org/apache/cassandra/service/reads/repair/DiagEventsBlockingReadRepairTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,3,8.954545455
src/java/org/apache/cassandra/db/ReadVerbHandler.java,246,42,19,36,39,51,22,36,30,12,17,58,0,0,0,0,0,0,0,0,0,0,27.63636364
interface/thrift/gen-java/org/apache/cassandra/thrift/KeyRange.java,0,0,686,174,128,18,148,0,408,40,0,0,0,0,0,0,0,0,0,0,1034,0,119.8181818
src/java/org/apache/cassandra/db/marshal/TupleType.java,0,0,0,0,0,0,0,0,0,301,76,14,0,18,0,9,0,45,0,0,199,0,30.09090909
test/unit/org/apache/cassandra/TeeingAppender.java,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,4.227272727
src/java/org/apache/cassandra/cql3/functions/UDFContextImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,7,0,6.954545455
test/unit/org/apache/cassandra/io/compress/MockCompressor.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,4.681818182
test/unit/org/apache/cassandra/dht/tokenallocator/TokenAllocationTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,14.09090909
src/java/org/apache/cassandra/utils/SafeMessageDigest.java,167,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.31818182
src/java/org/apache/cassandra/service/PBSPredictionResult.java,0,0,0,0,0,0,0,127,127,0,0,0,0,0,0,0,0,0,0,0,0,0,11.54545455
src/java/org/apache/cassandra/utils/concurrent/SharedCloseable.java,0,0,0,0,0,0,0,0,0,0,36,1,0,0,0,0,0,0,0,0,0,0,1.681818182
src/java/org/apache/cassandra/db/compaction/Scrubber.java,0,0,0,0,0,0,0,361,97,173,240,162,0,7,0,12,0,11,2,221,308,206,81.81818182
test/unit/org/apache/cassandra/utils/MergeIteratorComparisonTest.java,0,0,0,0,0,0,0,0,0,0,0,733,0,0,0,0,0,0,0,0,1,0,33.36363636
src/java/org/apache/cassandra/db/repair/CassandraKeyspaceRepairManager.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,2.363636364
src/java/org/apache/cassandra/schema/CompressionParams.java,0,0,0,0,0,0,0,0,0,0,0,551,0,0,0,0,0,6,0,0,229,0,35.72727273
src/java/org/apache/cassandra/db/compaction/CompactionController.java,0,0,0,0,0,135,20,113,145,79,92,36,5,5,19,0,0,0,22,2,209,0,40.09090909
src/java/org/apache/cassandra/utils/ConcurrentBiMap.java,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,5.954545455
src/java/org/apache/cassandra/db/compaction/CompactionIterator.java,0,0,0,0,0,0,0,0,0,0,0,309,0,0,0,0,6,0,0,7,376,0,31.72727273
src/java/org/apache/cassandra/dht/ComparableObjectToken.java,0,0,0,0,0,0,0,0,0,0,69,14,0,0,0,0,0,0,0,0,0,0,3.772727273
src/java/org/apache/cassandra/db/UnfilteredValidation.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,5.136363636
src/java/org/apache/cassandra/io/sstable/format/big/SSTableSliceIterator.java,0,0,0,0,0,0,0,0,0,0,102,102,0,0,0,0,0,0,0,0,0,0,9.272727273
src/java/org/apache/cassandra/serializers/IntegerSerializer.java,0,0,0,0,0,0,0,0,54,6,0,0,0,0,0,0,0,0,0,0,9,0,3.136363636
src/java/org/apache/cassandra/thrift/TFramedTransportFactory.java,0,0,0,0,0,0,0,37,21,17,1,0,0,0,0,0,0,0,0,0,56,0,6
src/java/org/apache/cassandra/service/RowDataResolver.java,0,0,0,0,0,0,0,0,177,22,20,177,0,0,0,0,0,0,0,0,0,0,18
src/java/org/apache/cassandra/utils/logging/LoggingSupportFactory.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,2.727272727
test/unit/org/apache/cassandra/db/CleanupTest.java,0,0,0,149,24,39,23,13,24,54,32,94,77,26,0,0,6,0,0,0,155,25,33.68181818
src/java/org/apache/cassandra/io/util/ChecksumWriter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,11,5.181818182
src/java/org/apache/cassandra/cache/SerializingCache.java,0,0,0,0,170,24,91,102,7,53,15,14,0,0,0,0,0,3,0,0,93,0,26
src/java/org/apache/cassandra/db/marshal/AbstractType.java,89,0,10,51,98,45,39,88,104,168,55,179,0,0,0,7,0,34,26,24,268,0,58.40909091
src/java/org/apache/cassandra/cql/jdbc/JdbcInt32.java,0,0,0,0,0,100,13,18,101,0,0,0,0,0,0,0,0,0,0,0,0,0,10.54545455
src/java/org/apache/cassandra/db/SnapshotDetailsTabularData.java,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,6,0,4.181818182
src/java/org/apache/cassandra/cql3/statements/CreateIndexStatement.java,0,0,0,0,0,0,93,57,113,107,87,207,8,0,0,9,11,2,0,0,240,0,42.45454545
src/java/org/apache/cassandra/index/internal/CollatedViewIndexBuilder.java,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,15,0,4.227272727
src/java/org/apache/cassandra/exceptions/OperationExecutionException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,16,3.318181818
test/unit/org/apache/cassandra/io/compress/ZstdCompressorTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,2.409090909
tools/stress/src/org/apache/cassandra/stress/generate/DistributionBoundApache.java,0,0,0,0,0,0,0,0,0,84,4,0,0,0,0,0,0,0,0,0,0,0,4
src/java/org/apache/cassandra/cql/DeleteStatement.java,0,0,0,0,74,81,39,32,9,26,123,0,0,0,0,0,0,0,0,0,0,0,17.45454545
interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnDef.java,0,0,0,657,104,159,34,0,344,51,0,0,0,0,0,0,0,0,0,0,915,0,102.9090909
src/java/org/apache/cassandra/cql3/selection/AbstractFunctionSelector.java,0,0,0,0,0,0,0,0,0,0,131,6,0,11,0,0,0,7,0,23,27,0,9.318181818
src/java/org/apache/cassandra/metrics/EstimatedHistogramReservoir.java,0,0,0,0,0,0,0,0,0,0,105,3,10,0,5,0,0,0,0,111,0,0,10.63636364
src/java/org/apache/cassandra/locator/SimpleSeedProvider.java,0,0,0,0,67,2,12,10,0,57,33,0,0,0,0,0,0,0,0,0,10,0,8.681818182
