Class,3.0.1,3.0.2,3.1.2,3.1.3,4,4.0.1,4.0.2,4.1,4.1.1,average
cayenne-server/src/test/java/org/apache/cayenne/testdo/inheritance_with_enum/auto/_Sub.java,0,0,0,0,28,0,0,63,0,10.11111111
cayenne-di/src/main/java/org/apache/cayenne/di/spi/InstanceProvider.java,0,0,0,0,39,0,0,0,2,4.555555556
cayenne-server/src/test/java/org/apache/cayenne/testdo/inheritance_flat/InheritanceFlat.java,0,0,0,0,36,0,0,0,2,4.222222222
cayenne-server/src/test/java/org/apache/cayenne/query/StatementFetchSizeIT.java,0,0,0,0,78,0,0,0,2,8.888888889
cayenne-project/src/main/java/org/apache/cayenne/project/validation/ProcedureQueryValidator.java,0,0,0,0,72,0,0,0,2,8.222222222
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/project/validator/TreeNodeValidator.java,0,0,150,0,0,0,0,0,0,16.66666667
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/project/validator/DataNodeValidatorTest.java,0,0,66,0,0,0,0,0,0,7.333333333
framework/cayenne-jpa-unpublished/src/main/java/org/apache/cayenne/jpa/map/JpaTableGenerator.java,0,0,170,0,0,0,0,0,0,18.88888889
cayenne-server/src/main/java/org/apache/cayenne/ejbql/parser/EJBQLEquals.java,0,0,0,0,42,0,0,0,2,4.888888889
cayenne-server/src/test/java/org/apache/cayenne/access/DataContextRelationshipQueryIT.java,0,0,0,0,138,0,0,0,2,15.55555556
framework/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/FileClassLoadingService.java,0,0,132,0,0,0,0,0,0,14.66666667
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/DataChannel.java,0,0,9,0,101,0,0,0,0,12.22222222
cayenne-di/src/test/java/org/apache/cayenne/di/mock/MockInterface1_Decorator3.java,0,0,0,0,35,0,0,0,2,4.111111111
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/testdo/qualified/auto/_Qualified4.java,0,0,0,54,54,0,0,0,0,12
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/testdo/relationship/auto/_FlattenedTest4.java,0,0,9,0,35,0,0,0,0,4.888888889
cayenne-server/src/test/java/org/apache/cayenne/access/translator/ejbql/EJBQLSelectTranslatorIT.java,0,0,0,0,341,0,0,0,2,38.11111111
framework/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/action/ProjectAction.java,0,0,136,0,0,0,0,0,0,15.11111111
framework/cayenne-tools/src/test/java/org/apache/cayenne/gen/ClassGenerationActionTest.java,12,0,8,0,247,0,0,0,0,29.66666667
framework/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/editor/dbentity/DbRelationshipTableModel.java,0,0,219,0,0,0,0,0,0,24.33333333
