Class,cxf-2.2,cxf-2.3.0,cxf-2.4.0,cxf-2.5.0,cxf-2.6.0,cxf-2.7.0,cxf-3.0.0,cxf-3.1.0,cxf-3.2.0,cxf-3.3.0,cxf-3.4.0,cxf-3.5.0,cxf-3.5.3,average
distribution/src/main/release/samples/logbrowser/src/main/java/demo/service/CustomerService.java,0,0,0,141,0,0,0,0,141,0,0,0,0,21.69230769
distribution/src/main/release/samples/jax_rs/spring_boot/src/main/java/sample/rs/client/SampleRestClientApplication.java,0,0,0,0,0,0,0,0,63,5,0,0,0,5.230769231
rt/rs/security/oauth-parent/oauth2/src/main/java/org/apache/cxf/rs/security/oauth2/client/StaticClientTokenContext.java,0,0,0,0,0,0,0,0,37,2,0,0,0,3
rt/rs/security/jose-parent/jose-jaxrs/src/main/java/org/apache/cxf/rs/security/jose/jaxrs/multipart/JwsMultipartClientRequestFilter.java,0,0,0,0,0,0,0,0,44,2,0,0,0,3.538461538
rt/rs/security/xml/src/main/java/org/apache/cxf/rs/security/saml/sso/RequestAssertionConsumerService.java,0,0,0,0,128,128,0,0,0,0,0,0,0,19.69230769
systests/jaxrs/src/test/java/org/apache/cxf/systest/jaxrs/XForwardedServletFilter.java,0,0,0,0,0,0,0,0,81,10,0,0,0,7
rt/databinding/xmlbeans/src/main/java/org/apache/cxf/xmlbeans/DataWriterImpl.java,15,89,26,0,6,2,13,0,227,0,0,0,0,29.07692308
systests/src/test/java/org/apache/cxf/systest/servlet/GetMethodQueryWebRequest.java,0,43,0,0,0,0,0,0,0,0,0,0,0,3.307692308
rt/rs/description-swagger-ui/src/test/java/org/apache/cxf/jaxrs/swagger/ui/SwaggerUIResourceLocatorTest.java,0,0,0,0,0,0,0,0,0,0,43,0,0,3.307692308
rt/rs/client/src/test/java/org/apache/cxf/jaxrs/client/cache/ClientCacheTest.java,0,0,0,0,0,0,0,229,22,30,0,61,0,26.30769231
rt/transports/http/src/main/java/org/apache/cxf/transport/http/spring/HttpBasicAuthSupplierBeanDefinitionParser.java,0,0,39,0,0,0,0,0,0,0,0,0,0,3
bin/DoMerges.java,6,79,37,216,751,184,950,0,136,28,4,0,0,183.9230769
services/xkms/xkms-x509-repo-ldap/src/test/java/org/apache/cxf/xkms/x509/repo/ldap/LDAPCertificateRepoTest.java,0,0,0,0,0,0,146,0,17,1,150,0,0,24.15384615
tools/common/src/main/java/org/apache/cxf/tools/common/extensions/soap/SoapBinding.java,0,0,0,0,27,0,0,0,0,0,0,0,0,2.076923077
rt/ws/security/src/main/java/org/apache/cxf/ws/security/policy/builders/RecipientEncryptionTokenBuilder.java,0,0,0,0,82,0,82,0,0,0,0,0,0,12.61538462
rt/rs/security/jose-parent/jose/src/main/java/org/apache/cxf/rs/security/jose/jwk/JwkUtils.java,0,0,0,0,0,0,0,0,563,18,51,71,0,54.07692308
api/src/main/java/org/apache/cxf/service/ServiceImpl.java,0,0,0,0,128,0,128,0,0,0,0,0,0,19.69230769
systests/uncategorized/src/test/java/org/apache/cxf/systest/type_test/soap/SOAPDocLitServerImpl.java,0,81,0,0,0,0,0,0,8,2,2,0,0,7.153846154
tools/javato/ws/src/test/java/org/apache/cxf/tools/java2wsdl/processor/internal/jaxws/WrapperUtilTest.java,0,0,0,0,0,0,0,0,0,9,0,0,0,0.692307692
rt/bindings/soap/src/main/java/org/apache/cxf/binding/soap/interceptor/MustUnderstandInterceptor.java,88,66,55,0,3,0,49,0,66,0,0,0,0,25.15384615
systests/jaxws/src/test/java/org/apache/cxf/systest/jaxws/ClientServerMiscTest.java,0,846,21,0,19,2,59,11,321,76,6,13,0,105.6923077
core/src/main/java/org/apache/cxf/common/spi/GeneratedNamespaceClassLoader.java,0,0,0,0,0,0,0,0,0,0,0,52,0,4
distribution/src/main/release/samples/jms_spring_config/src/main/java/com/example/customerservice/server/CustomerServiceSpringServer.java,0,0,0,32,5,0,0,17,6,2,0,0,0,4.769230769
distribution/src/main/release/samples/jax_rs/basic_https/src/demo/jaxrs/server/Server.java,0,0,45,0,0,0,0,0,0,0,0,0,0,3.461538462
services/sts/sts-core/src/main/java/org/apache/cxf/sts/token/provider/ConditionsProvider.java,0,0,0,40,6,0,8,0,6,0,0,0,0,4.615384615
rt/rs/security/oauth-parent/oauth2/src/main/java/org/apache/cxf/rs/security/oauth2/provider/DefaultResourceOwnerNameProvider.java,0,0,0,0,0,0,27,0,0,0,0,0,0,2.076923077
rt/rs/extensions/search/src/main/java/org/apache/cxf/jaxrs/ext/search/tika/TikaContentExtractor.java,0,0,0,0,0,0,0,258,218,0,2,0,0,36.76923077
rt/frontend/jaxws/src/main/java/org/apache/cxf/jaxws/EndpointImpl.java,37,269,218,26,25,13,21,22,174,16,0,4,0,63.46153846
rt/bindings/corba/src/main/java/org/apache/cxf/binding/corba/utils/CorbaUtils.java,59,0,134,0,16,1,22,5,151,12,24,11,0,33.46153846
core/src/main/java/org/apache/cxf/transport/Destination.java,0,0,0,0,0,0,55,0,10,0,0,0,0,5
rt/rs/security/jose-parent/jose-jaxrs/src/main/java/org/apache/cxf/rs/security/jose/jaxrs/multipart/AbstractJwsMultipartVerificationFilter.java,0,0,0,0,0,0,0,0,57,2,0,0,0,4.538461538
integration/tracing/tracing-opentracing/src/main/java/org/apache/cxf/tracing/opentracing/OpenTracingClientStartInterceptor.java,0,0,0,0,0,0,0,0,0,51,11,0,0,4.769230769
systests/uncategorized/src/test/java/org/apache/cxf/systest/cxf6319/ServiceImpl.java,0,0,0,0,0,0,0,0,34,0,0,0,0,2.615384615
rt/core/src/main/java/org/apache/cxf/interceptor/transform/TransformInInterceptor.java,0,0,96,20,114,0,0,0,0,0,0,0,0,17.69230769
rt/bindings/corba/src/test/java/org/apache/cxf/binding/corba/types/CorbaStructHandlerTest.java,0,0,0,0,0,0,0,0,36,16,11,0,0,4.846153846
systests/transports/src/test/java/org/apache/cxf/systest/jms/GreeterImplDoc.java,0,31,31,0,0,0,0,0,0,0,0,0,0,4.769230769
rt/ws/security/src/test/java/org/apache/cxf/ws/security/wss4j/saml/SAML2CallbackHandler.java,0,0,81,0,5,0,36,4,18,0,0,0,0,11.07692308
services/sts/systests/advanced/src/test/java/org/apache/cxf/systest/sts/deployment/CustomBSTTokenValidator.java,0,0,0,75,16,0,4,7,21,0,0,0,0,9.461538462
systests/src/test/java/org/apache/cxf/systest/stringarray/StringArrayTest.java,0,76,0,0,0,0,0,0,0,0,0,0,0,5.846153846
core/src/test/java/org/apache/cxf/staxutils/transform/OutTransformWriterTest.java,0,0,0,0,0,0,545,0,287,9,32,0,0,67.15384615
systests/rs-security/src/test/java/org/apache/cxf/systest/jaxrs/security/jose/BookStore.java,0,0,0,0,0,0,0,0,139,0,0,0,0,10.69230769
core/src/test/java/org/apache/cxf/configuration/jsse/SSLUtilsTest.java,0,0,0,0,0,0,0,0,0,90,0,0,0,6.923076923
integration/jca/src/test/java/org/apache/cxf/jca/cxf/handlers/AbstractInvocationHandlerTest.java,0,3,0,0,4,0,0,0,18,6,6,0,0,2.846153846
rt/core/src/main/java/org/apache/cxf/interceptor/AbstractEndpointSelectionInterceptor.java,0,0,0,0,79,0,0,0,0,0,0,0,0,6.076923077
services/sts/sts-core/src/main/java/org/apache/cxf/sts/token/validator/SAMLRoleParser.java,0,0,0,0,0,0,44,2,2,0,0,0,0,3.692307692
rt/bindings/soap/src/main/java/org/apache/cxf/binding/soap/interceptor/TibcoSoapActionInterceptor.java,0,50,100,6,0,0,0,0,4,2,0,0,0,12.46153846
distribution/src/main/release/samples/js_browser_client_java_first/src/demo/hw/server/JavascriptExampleImpl.java,0,0,0,117,0,0,0,0,0,0,0,0,0,9
rt/bindings/soap/src/main/java/org/apache/cxf/binding/soap/spring/SoapBindingInfoConfigBeanDefinitionParser.java,0,0,0,0,2,0,0,0,0,0,0,0,0,0.153846154
api/src/test/java/org/apache/cxf/BusFactoryTest.java,0,0,0,0,0,0,49,0,0,0,0,0,0,3.769230769
api/src/main/java/org/apache/cxf/continuations/Continuation.java,79,0,2,0,0,0,79,0,0,0,0,0,0,12.30769231
systests/src/test/java/org/apache/cxf/systest/jaxrs/JAXRSClientServerProxySpringBookTest.java,36,113,0,0,0,0,0,0,0,0,0,0,0,11.46153846
rt/rs/sse/src/main/java/org/apache/cxf/jaxrs/sse/SseEventSinkContextProvider.java,0,0,0,0,0,0,0,0,0,50,19,0,0,5.307692308
api/src/main/java/org/apache/cxf/configuration/spring/SimpleBeanDefinitionParser.java,0,0,0,0,33,0,33,0,0,0,0,0,0,5.076923077
rt/ws/policy/src/main/java/org/apache/cxf/ws/policy/blueprint/PolicyBPHandler.java,0,0,71,0,1,0,22,0,7,0,0,0,0,7.769230769
core/src/main/java/org/apache/cxf/common/spi/GeneratedClassClassLoaderCapture.java,0,0,0,0,0,0,0,0,0,0,0,36,0,2.769230769
rt/databinding/xmlbeans/src/test/java/org/apache/cxf/xmlbeans/rpc/WeatherServiceRPCLitTest.java,2,0,0,0,0,0,10,0,90,0,0,0,0,7.846153846
