Class,drill-0.4.0,drill-0.7.0,drill-0.8.0,drill-0.9.0,drill-1.0.0,drill-1.1.0,drill-1.2.0,drill-1.3.0,drill-1.4.0,drill-1.5.0,drill-1.6.0,drill-1.7.0,drill-1.8.0,drill-1.9.0,drill1.10.0,drill-1.11.0,drill-1.12.0,drill-1.13.0,drill-1.14.0,drill-1.15.0,drill-1.16.0,drill-1.17.0,drill-1.18.0,drill-1.19.0,drill-1.20.0,average
exec/java-exec/src/main/java/org/apache/drill/exec/resolver/FunctionResolverFactory.java,29,8,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,1.92
common/src/main/java/org/apache/drill/common/EventProcessor.java,0,0,104,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,2,0,0,0,0,0,0,7.48
exec/java-exec/src/main/java/org/apache/drill/exec/planner/torel/ConversionContext.java,167,26,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9.12
exec/java-exec/src/main/java/org/apache/drill/exec/metastore/MetastoreMetadataProviderManager.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,13,0,0,5.44
logical/src/main/java/org/apache/drill/common/expression/FunctionName.java,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1.24
exec/vector/src/main/java/org/apache/drill/exec/vector/AddOrGetResult.java,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1.68
contrib/format-image/src/main/java/org/apache/drill/exec/store/image/ImageDirectoryProcessor.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,10.48
exec/java-exec/src/test/java/org/apache/drill/exec/fn/impl/TestDateTruncFunctions.java,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,0,6,0,145,4,0,0,0,0,0,19.8
metastore/rdbms-metastore/src/main/java/org/apache/drill/metastore/rdbms/operate/RdbmsMetadata.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,1.28
exec/java-exec/src/test/java/org/apache/drill/exec/physical/impl/TestSchema.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,29,0,4,0,0,0,2,4.88
exec/java-exec/src/main/java/org/apache/drill/exec/planner/physical/HashToMergeExchangePrel.java,109,13,0,22,0,0,0,0,0,0,0,0,0,0,0,14,0,4,0,2,0,0,0,0,0,6.56
exec/java-exec/src/main/java/org/apache/drill/exec/physical/config/WindowPOP.java,0,79,10,0,0,0,0,0,0,0,51,20,0,0,0,0,0,0,3,16,0,0,0,7,0,7.44
exec/java-exec/src/test/java/org/apache/drill/exec/physical/impl/xsort/managed/TestSortImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609,13,138,44,4,15,19,626,0,0,58.72
exec/java-exec/src/main/java/org/apache/drill/exec/store/easy/text/reader/ConstrainedFieldOutput.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,1.76
exec/java-exec/src/main/java/org/apache/drill/exec/store/easy/text/compliant/HeaderBuilder.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,0,27,0,4,0,263,0,0,0,22.72
contrib/storage-opentsdb/src/main/java/org/apache/drill/exec/store/openTSDB/client/Schema.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,4.96
contrib/format-maprdb/src/main/java/org/apache/drill/exec/store/mapr/db/json/FieldPathHelper.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,3
exec/java-exec/src/test/java/org/apache/drill/exec/store/dfs/TestGlob.java,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,95,0,6,0,0,0,0,0,16,7.36
exec/java-exec/src/test/java/org/apache/drill/exec/physical/config/TestParsePhysicalPlan.java,9,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,8,0,5,6,0,0,0,0,0,1.76
exec/java-exec/src/main/java/org/apache/drill/exec/expr/fn/registry/FunctionHolder.java,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,6,0,0,0,0,0,0,2.4
exec/vector/src/main/codegen/templates/RepeatedValueVectors.java,0,0,0,0,0,0,0,0,427,10,2,0,0,0,0,170,3,71,16,0,0,5,0,0,0,28.16
exec/ref/src/main/java/org/apache/drill/exec/ref/rse/RecordReader.java,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12
logical/src/main/java/org/apache/drill/common/logical/security/CredentialsProvider.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,4,1.68
exec/java-exec/src/main/java/org/apache/drill/exec/store/easy/text/TextFormatPlugin.java,148,28,6,23,142,0,0,9,3,0,0,0,4,0,4,0,0,2,26,2,310,269,165,52,4,47.88
exec/java-exec/src/main/java/org/apache/drill/exec/planner/logical/DrillDirectScanRel.java,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,5,0,0,0,0,0,0,0,0,0,3
exec/java-exec/src/main/java/org/apache/drill/exec/expr/fn/DrillFuncHolder.java,266,64,27,0,0,0,0,94,0,0,0,26,0,28,6,231,0,0,63,21,0,219,345,0,0,55.6
exec/java-exec/src/main/java/org/apache/drill/exec/planner/SimpleExecPlanner.java,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16
exec/java-exec/src/main/java/org/apache/drill/exec/planner/physical/visitor/ComplexToJsonPrelVisitor.java,40,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1.96
exec/java-exec/src/main/java/org/apache/drill/exec/ssl/SSLConfig.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,3,0,0,32,0,0,12.2
exec/java-exec/src/test/java/org/apache/drill/exec/physical/impl/xsort/managed/TestShortArrays.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,23,0,0,3,12,116,0,0,10.8
exec/java-exec/src/main/java/org/apache/drill/exec/store/easy/text/compliant/v3/StreamFinishedPseudoException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,0,0,0,2.32
exec/java-exec/src/main/java/org/apache/drill/exec/vector/complex/impl/AbstractBaseReader.java,63,1,7,5,0,0,0,24,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.92
protocol/src/main/java/org/apache/drill/exec/proto/beans/RecordBatchDef.java,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,241,0,0,0,19.36
exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/statistics/CntDupsMergedStatistic.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,1,0,0,0,4.16
exec/java-exec/src/test/java/org/apache/drill/exec/testing/TestPauseInjection.java,0,0,0,98,148,28,0,0,0,17,0,0,0,0,0,0,113,104,3,0,0,0,14,0,0,21
exec/java-exec/src/main/java/org/apache/drill/exec/planner/logical/DrillProjectPushIntoLateralJoinRule.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,13,0,4,0,0,0,5.2
exec/java-exec/src/main/java/org/apache/drill/exec/ops/ViewExpansionContext.java,0,0,0,175,0,2,0,0,0,0,13,0,0,0,22,0,0,0,6,2,0,0,0,0,5,9
exec/java-exec/src/main/java/org/apache/drill/exec/physical/impl/scan/project/WildcardProjection.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,2.52
contrib/format-maprdb/src/main/java/org/apache/drill/exec/store/mapr/db/RestrictedMapRDBSubScanSpec.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,7.68
contrib/format-pcapng/src/test/java/org/apache/drill/exec/store/pcap/ConcatPcap.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,2.68
drill-yarn/src/main/java/org/apache/drill/yarn/core/package-info.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,1
contrib/gis/src/main/java/org/apache/drill/exec/expr/fn/impl/gis/STOverlaps.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,0,0,0,0,0,5.2
