Class,rel/0.18.0,rel/0.19.0,rel/0.20.0,rel/0.90.0,rel/0.92.0,rel/0.94.0,rel/0.96.0,rel/0.98.0,rel/0.99.0,rel/1.0.0,rel/1.1.0,rel/1.2.0,rel/1.3.0,rel/1.4.0,rel/1.5.0,rel/1.6.0,rel/1.7.0,rel/2.0.0,rel/2.1.0,rel/2.2.0,rel/2.3.0,rel/2.4.0,rel/3.0.0-alpha-1,rel/3.0.0-alpha-3,average
hbase-server/src/test/java/org/apache/hadoop/hbase/quotas/TestQuotaState.java,0,0,0,0,0,0,0,0,0,0,221,0,0,0,45,0,0,119,0,10,0,0,0,17,17.16666667
src/main/java/org/apache/hadoop/hbase/LocalHBaseCluster.java,0,0,0,454,28,12,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.58333333
hbase-server/src/test/java/org/apache/hadoop/hbase/wal/WALCorruptionDueToDanglingByteBufferTestBase.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,6,4.083333333
src/main/java/org/apache/hadoop/hbase/master/MXBeanImpl.java,0,0,0,0,0,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/regionreplication/TestRegionReplicationForSkipWAL.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,8.041666667
hbase-client/src/main/java/org/apache/hadoop/hbase/client/HTablePool.java,0,0,0,0,0,0,614,14,46,10,0,3,16,33,0,0,0,716,0,0,0,0,0,0,60.5
hbase-hbtop/src/main/java/org/apache/hadoop/hbase/hbtop/screen/top/FilterDisplayModeScreenPresenter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,53,0,0,54,0,0,3,6.791666667
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/MemStoreCompactionStrategy.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,2,0,0,0,0,54,7.25
hbase-server/src/test/java/org/apache/hadoop/hbase/master/procedure/TestMasterProcedureWalLease.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,5,238,0,0,0,19.91666667
hbase-common/src/main/java/org/apache/hadoop/hbase/util/ByteArrayHashKey.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,2,2.041666667
hbase-server/src/main/java/org/apache/hadoop/hbase/wal/FSHLogProvider.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,22,6,0,4,2,50,7.625
src/test/org/apache/hadoop/hbase/io/TestHbaseObjectWritable.java,9,0,9,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.041666667
hbase-compression/hbase-compression-lz4/src/test/java/org/apache/hadoop/hbase/io/compress/lz4/TestWALCompressionLz4.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,2.875
