Class,release-0.4.0,release-0.5.0,release-0.6.0,release-0.7.0,release-0.8.0,release-0.9.0,release-0.10.0,release-0.11.0,release-0.12.0,release-0.13.0,release-0.14.0,release-1.0.0,release-1.1.0,release-1.2.0,release-2.0.0,rel/release-2.1.0,rel/release-2.2.0,rel/release-2.3.0,rel/release-3.0.0,rel/release-3.1.0,rel/release-3.1.3,average
hcatalog/webhcat/svr/src/test/java/org/apache/hcatalog/templeton/tool/TestTrivialExecService.java,0,0,0,0,0,0,0,69,69,0,0,0,0,0,0,0,0,0,0,0,0,6.571428571
standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/model/MTablePrivilege.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,12,0,7.19047619
standalone-metastore/src/test/java/org/apache/hadoop/hive/metastore/TestMarkPartition.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,5.619047619
testutils/ptest2/src/test/java/org/apache/hive/ptest/execution/TestCleanupPhase.java,0,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,1.714285714
ql/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/ql/plan/api/Task.java,0,0,0,1060,220,0,627,8,0,0,0,0,0,0,186,0,0,0,0,0,0,100.047619
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/StringUnaryUDFDirect.java,0,0,0,0,0,0,0,0,0,150,2,0,0,0,0,0,0,4,130,0,0,13.61904762
standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/security/DelegationTokenSecretManager.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,6.380952381
common/src/java/org/apache/hadoop/hive/common/DiskRangeList.java,0,0,0,0,0,0,0,0,0,0,0,0,0,205,205,0,0,0,0,0,0,19.52380952
branch-0.4/serde/src/java/org/apache/hadoop/hive/serde2/typeinfo/ListTypeInfo.java,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.428571429
branch-0.4/ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDAFStdSample.java,94,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.952380952
