Class,karaf-2.1.0,karaf-2.2.0,karaf-2.3.0,karaf-2.4.0,karaf-3.0.0,karaf-4.0.0,karaf-4.1.0,karaf-4.2.0,karaf-4.3.0,karaf-4.3.1,karaf-4.4.0,karaf-4.4.1,average
itests/test/src/test/java/org/apache/karaf/itests/examples/ScrExampleTest.java,0,0,0,0,0,0,0,0,45,0,0,0,3.75
shell/web/src/main/java/org/apache/karaf/shell/web/WebListCommand.java,0,188,0,0,188,0,0,0,0,0,0,0,31.33333333
shell/table/src/test/java/org/apache/karaf/shell/tabletest/ShellTableTest.java,0,0,0,0,153,0,0,0,0,0,0,0,12.75
bundle/core/src/main/java/org/apache/karaf/bundle/core/internal/MavenConfigService.java,0,0,0,0,74,80,0,79,2,5,0,0,20
bundle/command/src/main/java/org/apache/karaf/bundle/command/Headers.java,0,0,0,0,329,329,0,0,0,0,0,0,54.83333333
http/src/test/java/org/apache/karaf/http/core/internal/HttpMBeanImplTest.java,0,0,0,0,0,37,0,2,2,0,2,0,3.583333333
obr/src/main/java/org/apache/karaf/obr/core/internal/ObrMBeanImpl.java,0,0,0,0,0,203,10,16,2,0,0,0,19.25
docker/src/main/java/org/apache/karaf/docker/command/CommitCommand.java,0,0,0,0,0,0,0,0,48,0,0,0,4
main/src/test/java/org/apache/karaf/main/TimeoutShutdownActivator.java,0,34,0,0,3,0,2,0,0,0,0,0,3.25
features/core/src/main/java/org/apache/karaf/features/internal/model/JacksonUtil.java,0,0,0,0,0,0,0,0,0,81,0,0,6.75
itests/test/src/test/java/org/apache/karaf/itests/examples/JmsExampleTest.java,0,0,0,0,0,0,0,0,74,0,0,0,6.166666667
itests/src/test/java/org/apache/karaf/itests/KarafTestWatcher.java,0,0,0,0,40,0,0,5,43,0,0,0,7.333333333
profile/src/main/java/org/apache/karaf/profile/assembly/Slf4jResolverLog.java,0,0,0,0,0,49,0,0,0,0,0,0,4.083333333
shell/core/src/main/java/org/apache/karaf/shell/impl/console/CompleterAsCompletor.java,0,0,0,0,0,44,44,0,0,0,0,0,7.333333333
scheduler/src/main/java/org/apache/karaf/scheduler/command/Unschedule.java,0,0,0,0,0,41,0,3,0,0,0,0,3.666666667
tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/features/FeatureMetaDataExporter.java,0,0,0,0,115,115,0,0,0,0,0,0,19.16666667
shell/log/src/main/java/org/apache/karaf/shell/log/layout/PatternConverter.java,0,0,9,0,107,0,0,0,0,0,0,0,9.666666667
main/src/main/java/org/apache/karaf/main/ServerInfoImpl.java,0,0,0,0,99,0,0,0,0,0,0,0,8.25
package/core/src/test/java/org/apache/karaf/packages/core/InstallMBeantest.java,0,0,0,0,44,44,0,0,0,0,0,0,7.333333333
itests/test/src/test/java/org/apache/karaf/itests/examples/LogAppenderExampleTest.java,0,0,0,0,0,0,0,0,40,0,0,0,3.333333333
shell/commands/src/main/java/org/apache/karaf/shell/commands/impl/TacAction.java,0,0,0,0,69,18,77,0,0,0,0,0,13.66666667
deployer/kar/src/test/java/org/apache/karaf/deployer/kar/KarArtifactInstallerTest.java,0,208,319,2,196,0,0,37,0,0,0,0,63.5
shell/commands/src/main/java/org/apache/karaf/shell/commands/CatAction.java,3,5,6,0,99,0,0,0,0,0,0,0,9.416666667
features/command/src/test/java/org/apache/karaf/features/command/ListFeaturesCommandTest.java,0,0,0,90,90,98,0,2,0,0,0,0,23.33333333
tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/instances/CreateArchiveMojo.java,0,0,0,0,213,213,0,0,0,0,0,0,35.5
jaas/blueprint/jasypt/src/main/java/org/apache/karaf/jaas/blueprint/jasypt/handler/NamespaceHandler.java,0,0,0,0,0,173,0,11,12,0,0,0,16.33333333
package/src/main/java/org/apache/karaf/packages/core/PackageRequirement.java,0,0,0,0,0,83,0,0,0,0,0,0,6.916666667
features/core/src/main/java/org/apache/karaf/features/internal/service/FeatureRepoFinder.java,0,0,0,0,0,0,0,98,0,0,0,0,8.166666667
features/command/src/main/java/org/apache/karaf/features/command/Artifact.java,0,0,53,3,0,56,0,0,0,0,0,0,9.333333333
jms/core/src/main/java/org/apache/karaf/jms/command/ConsumeCommand.java,0,0,0,0,0,0,40,40,0,0,0,0,6.666666667
maven/core/src/main/java/org/apache/karaf/maven/command/RepositoryChangeCommand.java,0,0,0,0,0,0,0,197,0,0,0,0,16.41666667
service/core/src/main/java/org/apache/karaf/service/command/ObjectClassMatcher.java,0,0,0,0,0,43,0,0,0,0,0,0,3.583333333
itests/test/src/test/java/org/apache/karaf/itests/mavenresolver/KarafMinimalMonitoredTestSupport.java,0,0,0,0,0,0,0,0,153,4,2,0,13.25
features/core/src/main/java/org/apache/karaf/features/internal/model/Feature.java,0,0,0,0,354,274,218,29,7,0,0,0,73.5
main/src/main/java/org/apache/karaf/main/spi/MainService.java,0,27,0,0,0,0,0,0,0,0,0,0,2.25
shell/console/src/main/java/org/apache/karaf/shell/compat/ArgumentCompleter.java,0,0,0,0,0,479,48,19,0,0,0,0,45.5
shell/console/src/main/java/org/apache/karaf/shell/console/jline/LoggingCommandSessionListener.java,0,0,0,45,45,0,0,0,0,0,0,0,7.5
tooling/karaf-maven-plugin/src/main/java/org/apache/karaf/tooling/features/DependencyHelper.java,0,0,0,0,272,272,0,0,0,0,0,0,45.33333333
shell/ssh/src/main/java/org/apache/karaf/shell/ssh/keygenerator/PemWriter.java,0,0,0,0,0,0,0,47,31,0,0,0,6.5
maven/core/src/main/java/org/apache/karaf/maven/command/RepositoryListCommand.java,0,0,0,0,0,0,0,127,0,0,0,0,10.58333333
