Class,releases/lucene/1.2,releases/lucene/1.3,releases/lucene/1.4,releases/lucene/1.9,releases/lucene/2.0.0,releases/lucene/2.1.0,releases/lucene/2.2.0,releases/lucene/2.3.0,releases/lucene/2.4.0,releases/lucene/2.9.0,releases/lucene/3.0.0,releases/lucene/9.0.0,releases/lucene/9.1.0,releases/lucene/9.2.0,releases/lucene/9.3.0,average
contrib/highlighter/src/java/org/apache/lucene/search/highlight/WeightedTerm.java,0,0,0,64,0,11,0,0,3,0,0,64,0,0,0,9.466666667
lucene/core/src/test/org/apache/lucene/search/TestRegexpRandom.java,0,0,0,0,0,0,0,0,0,0,0,142,8,0,0,10
lucene/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/PerfTask.java,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,20.66666667
src/test/org/apache/lucene/search/TestTimeLimitedCollector.java,0,0,0,0,0,0,0,0,333,33,328,0,0,0,0,46.26666667
lucene/core/src/java/org/apache/lucene/index/SerialMergeScheduler.java,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,2.933333333
lucene/core/src/test/org/apache/lucene/util/TestFilterIterator.java,0,0,0,0,0,0,0,0,0,0,0,148,1,0,0,9.933333333
lucene/grouping/src/java/module-info.java,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,1.6
lucene/facet/src/java/org/apache/lucene/facet/taxonomy/writercache/UTF8TaxonomyWriterCache.java,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,11.6
lucene/test-framework/src/java/org/apache/lucene/analysis/CrankyTokenFilter.java,0,0,0,0,0,0,0,0,0,0,0,70,70,0,0,9.333333333
lucene/core/src/java/org/apache/lucene/analysis/LowerCaseFilter.java,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,2.933333333
lucene/queries/src/test/org/apache/lucene/queries/function/TestFunctionScoreQuery.java,0,0,0,0,0,0,0,0,0,0,0,364,18,0,0,25.46666667
contrib/gdata-server/src/gom/src/java/org/apache/lucene/gdata/gom/core/GOMContentImpl.java,0,0,0,0,0,216,0,216,0,0,0,0,0,0,0,28.8
src/java/org/apache/lucene/document/NumberTools.java,0,0,0,127,0,11,0,2,0,15,4,139,0,0,0,19.86666667
lucene/analysis/common/src/java/org/apache/lucene/analysis/synonym/SynonymGraphFilter.java,0,0,0,0,0,0,0,0,0,0,0,616,0,0,0,41.06666667
