Class,release-1.1,release-1.2,release-1.3,release-1.4,release-1.5,release-1.6,release-1.7,release-1.8,release-1.9,release-1.10,release-1.12,release-1.13,release-1.14,release-1.15,release-1.16,release-1.17,release-1.18,release-2.0,release-2.1,release-2.2,release-2.3,release-2.4,average
src/java/org/apache/nutch/webui/pages/seed/SeedListsPage.java,0,0,0,0,0,0,0,0,0,0,79,4,0,0,2,0,0,79,0,0,79,0,11.04545455
src/test/org/apache/nutch/api/TestAPI.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,367,225,37
src/plugin/urlnormalizer-host/src/test/org/apache/nutch/net/urlnormalizer/host/TestHostURLNormalizer.java,0,0,0,0,0,50,0,0,19,18,0,0,0,0,0,3,0,58,0,0,0,0,6.727272727
src/java/org/apache/nutch/api/APIInfoResource.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,40,0,3.636363636
src/java/org/apache/nutch/util/SuffixStringMatcher.java,0,0,0,0,0,0,6,0,0,54,0,0,8,0,3,0,0,69,0,6,52,8,9.363636364
src/plugin/parse-tika/src/test/org/apache/nutch/parse/tika/TestOOParser.java,0,0,0,0,0,0,0,0,0,0,0,0,0,107,5,33,0,133,4,134,24,0,20
src/java/org/apache/nutch/webui/pages/assets/package-info.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1
src/plugin/parse-replace/src/java/org/apache/nutch/parse/replace/package-info.java,0,0,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,0,0,0,0,2
src/java/org/apache/nutch/api/model/request/SeedList.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,3.590909091
src/java/org/apache/nutch/parse/ParseResult.java,0,0,0,6,12,0,0,0,0,94,0,6,2,20,3,0,0,193,0,0,0,0,15.27272727
src/java/org/apache/nutch/webui/pages/crawls/CrawlsPage.java,0,0,0,0,0,0,0,0,0,0,139,4,0,0,2,0,0,139,0,0,139,0,19.22727273
nutchgora/src/java/org/apache/nutch/indexer/IndexerJob.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,141,0,0,0,12.81818182
nutchgora/src/java/org/apache/nutch/net/protocols/ProtocolException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,47,0,0,0,4.272727273
nutchgora/src/java/org/apache/nutch/protocol/ProtocolException.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,0,0,0,3.545454545
src/java/org/apache/nutch/webui/pages/LogOutPage.java,0,0,0,0,0,0,0,0,0,0,21,0,0,0,2,0,0,21,0,0,21,14,3.590909091
src/java/org/apache/nutch/util/CommandRunner.java,0,0,0,0,0,0,0,0,0,46,0,0,3,0,2,0,0,49,0,0,46,0,6.636363636
nutchgora/src/test/org/apache/nutch/protocol/TestContent.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,111,0,0,0,10.09090909
src/plugin/parse-rss/src/java/org/apache/nutch/parse/rss/structs/RSSChannel.java,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.590909091
src/java/org/apache/nutch/service/model/request/ServiceConfig.java,0,0,0,0,0,0,0,0,0,0,0,0,0,52,3,0,0,51,0,0,0,0,4.818181818
src/plugin/jsoup-extractor/src/java/org/apache/nutch/parse/jsoup/extractor/JsoupHtmlParser.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,5.363636364
src/java/org/apache/nutch/searcher/Searcher.java,18,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.772727273
nutchgora/src/java/org/apache/nutch/metadata/SpellCheckedMetadata.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,0,0,0,13.63636364
