Class,release-0.3.0,release-0.4.0,release-0.5.0,release-0.6.0,release-0.7.0,release-0.8.0,release-0.9.0,release-0.10.0,release-0.11.0,release-0.12.0,release-0.13.0,release-0.14.0,release-0.15.0,release-0.16.0,release-0.17.0,average
src/org/apache/pig/newplan/logical/relational/LOUnion.java,0,0,0,0,0,128,150,56,0,0,0,80,0,0,0,27.6
src/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/ProgressableReporter.java,48,0,0,0,14,0,0,16,0,0,0,0,0,13,0,6.066666667
test/org/apache/pig/test/TestPigStorage.java,0,0,0,119,68,9,0,449,6,173,98,84,14,108,31,77.26666667
src/org/apache/pig/FileInputLoadFunc.java,0,0,0,0,48,6,0,0,0,0,0,0,0,0,0,3.6
src/org/apache/pig/builtin/LAST_INDEX_OF.java,0,0,0,0,0,86,0,7,0,0,0,5,0,0,0,6.533333333
src/org/apache/pig/scripting/groovy/AlgebraicFinal.java,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,2.733333333
src/org/apache/pig/builtin/HiveUDFBase.java,0,0,0,0,0,0,0,0,0,0,0,0,207,8,16,15.4
src/org/apache/pig/experimental/plan/BaseOperatorPlan.java,0,0,0,0,288,288,0,0,0,0,0,0,0,0,0,38.4
src/org/apache/pig/impl/eval/StarSpec.java,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.933333333
src/org/apache/pig/scripting/ScriptEngine.java,0,0,0,0,0,93,257,6,37,8,0,2,0,14,0,27.8
src/org/apache/pig/builtin/REPLACE.java,0,0,0,0,0,82,0,6,0,0,0,5,0,35,0,8.533333333
contrib/penny/java/src/main/java/org/apache/pig/penny/apps/bt/Main.java,0,0,0,0,0,0,65,0,65,0,0,0,0,0,0,8.666666667
src/org/apache/pig/StoreFunc.java,0,0,0,0,207,41,0,13,21,0,4,0,0,110,0,26.4
test/org/apache/pig/test/TestSecondarySortMR.java,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,3.266666667
src/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/plans/MRStreamHandler.java,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,11.46666667
test/org/apache/pig/test/TestExperimentalFilterRule.java,0,0,0,0,503,503,0,0,0,0,0,0,0,0,0,67.06666667
contrib/zebra/src/test/org/apache/hadoop/zebra/mapred/TableMRSortedTableZebraKeyGenerator.java,0,0,0,194,0,0,0,0,0,0,194,0,0,0,0,25.86666667
