Class,REL_1_5_1,REL_2_5_1,REL_3_0,REL_3_1_FINAL,REL_3_2_FINAL,REL_3_5-FINAL,REL_3_6,REL_3_7,REL_3_8_FINAL,REL_3_9,REL_3_10_FINAL,REL_3_11_FINAL,REL_3_12_FINAL,REL_3_13_FINAL,REL_3_14_FINAL,REL_3_15_FINAL,REL_3_16_FINAL,REL_3_17_FINAL,REL_4_0_0_FINAL,REL_4_1_0,REL_5_0_0,REL_5_1_0,REL_5_2_0,REL_5_2_2,average
poi-ooxml/src/test/java/org/apache/poi/xssf/usermodel/helpers/TestXSSFColumnShifting.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,1.416666667
src/examples/src/org/apache/poi/hpsf/examples/WriteTitle.java,0,0,109,0,0,5,0,0,0,0,0,0,0,0,0,3,5,0,49,0,103,0,0,0,11.41666667
src/ooxml/java/org/apache/poi/xssf/usermodel/XSSFRichTextString.java,0,0,0,0,0,464,37,47,181,0,0,0,33,28,21,31,9,0,7,17,55,642,0,0,65.5
src/ooxml/java/org/apache/poi/xslf/util/PPTHandler.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,193,0,0,16.08333333
poi-ooxml/src/main/java/org/apache/poi/xslf/usermodel/XSLFTableStyles.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,3
poi-ooxml/src/main/java/org/apache/poi/xddf/usermodel/PresetPattern.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,4
poi-examples/src/main/java/org/apache/poi/examples/xslf/Tutorial1.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,3.333333333
src/java/org/apache/poi/hssf/record/DeltaRecord.java,0,74,35,5,18,68,0,0,0,0,0,0,0,0,5,8,0,0,0,0,42,83,0,0,14.08333333
trunk/poi/src/main/java/org/apache/poi/poifs/storage/BlockWritable.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,0,3.5
src/java/org/apache/poi/hssf/record/chart/UnitsRecord.java,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,4,0,0,0,0,57,91,0,0,10.41666667
poi-ooxml/src/main/java/org/apache/poi/xssf/model/SharedStringsTable.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,4,0,11.70833333
src/ooxml/java/org/apache/poi/xslf/usermodel/RenderableShape.java,0,0,0,0,0,0,0,0,629,0,0,41,17,633,0,0,0,0,0,0,0,0,0,0,55
src/testcases/org/apache/poi/hssf/record/pivot/AllPivotRecordTests.java,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,3.166666667
src/testcases/org/apache/poi/hssf/record/formula/eval/TestRangeEval.java,0,0,0,0,95,126,2,73,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
trunk/poi/src/main/java/org/apache/poi/ss/formula/functions/Intercept.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,0,3.833333333
poi-ooxml/src/main/java/org/apache/poi/xwpf/usermodel/XWPFAbstractFootnotesEndnotes.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,3.75
trunk/poi/src/main/java/org/apache/poi/ss/usermodel/BorderExtent.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,105,0,8.75
src/java/org/apache/poi/hssf/record/formula/functions/Countif.java,0,0,0,244,375,216,19,6,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.83333333
src/testcases/org/apache/poi/ss/formula/udf/TestAggregatingUDFFinder.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,8,37,0,0,3.416666667
src/examples/src/org/apache/poi/examples/ss/AddDimensionedImage.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011,1011,0,0,84.25
trunk/poi/src/main/java/org/apache/poi/hssf/record/BoolErrRecord.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,201,0,16.75
trunk/poi/src/main/java/org/apache/poi/hssf/record/SupBookRecord.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,269,0,22.41666667
src/java/org/apache/poi/hssf/record/formula/functions/Isref.java,0,0,0,50,0,70,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75
src/examples/src/org/apache/poi/xssf/streaming/examples/Outlining.java,0,0,0,0,0,0,0,0,0,0,51,0,0,0,17,0,0,0,30,0,54,0,0,0,6.333333333
trunk/poi/src/main/java/org/apache/poi/ss/formula/functions/Value.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,218,0,18.16666667
trunk/poi-ooxml/src/main/java/org/apache/poi/xssf/usermodel/extensions/XSSFCellFill.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,189,0,15.75
src/scratchpad/src/org/apache/poi/hemf/record/emfplus/HemfPlusHeader.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,142,199,0,0,17.83333333
poi/src/main/java/org/apache/poi/ss/formula/functions/Vlookup.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,2,0,3.666666667
src/java/org/apache/poi/hssf/record/formula/functions/Finv.java,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.083333333
poi-scratchpad/src/main/java/org/apache/poi/hwpf/converter/WordToHtmlConverter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745,0,0,31.04166667
poi/src/test/java/org/apache/poi/hssf/model/TestFormulaParserIf.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,9.916666667
trunk/poi/src/test/java/org/apache/poi/ss/formula/functions/TestDays360.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,165,0,13.75
poi-scratchpad/src/test/java/org/apache/poi/hslf/dev/TestTextStyleListing.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,2.166666667
poi/src/test/java/org/apache/poi/hssf/usermodel/TestText.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,225,0,18.125
trunk/poi/src/test/java/org/apache/poi/hssf/record/chart/TestFrameRecord.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,63,0,5.25
src/scratchpad/src/org/apache/poi/hssf/record/formula/functions/Activecell.java,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.416666667
