Class,STRUTS_2_0_10,STRUTS_2_0_14,STRUTS_2_1_0,STRUTS_2_1_8,STRUTS_2_2_0,STRUTS_2_2_3,STRUTS_2_3_1,STRUTS_2_3_10,STRUTS_2_3_20,STRUTS_2_3_30,STRUTS_2_3_37,STRUTS_2_5,STRUTS_2_5_10,STRUTS_2_5_20,STRUTS_2_5_30,STRUTS_6_0_0,average
trunk/core/src/test/java/org/apache/struts2/views/jsp/ui/TooltipTest.java,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.625
core/src/main/java/com/opensymphony/xwork2/inject/util/FinalizableReference.java,0,0,0,0,0,0,0,0,0,0,0,32,0,2,0,0,2.125
xwork-core/src/main/java/com/opensymphony/xwork2/util/XWorkList.java,0,0,0,0,226,0,0,21,6,0,227,0,0,0,0,0,30
plugins/embeddedjsp/src/main/java/org/apache/struts2/jasper/xmlparser/EncodingMap.java,0,0,0,1026,2046,0,0,0,0,0,0,520,0,37,0,0,226.8125
plugins/embeddedjsp/src/main/java/org/apache/struts2/jasper/el/ExpressionImpl.java,0,0,0,0,38,0,0,0,0,0,0,0,0,30,0,0,4.25
trunk/core/src/test/java/org/apache/struts2/dispatcher/DispatcherTest.java,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
core/src/main/java/org/apache/struts2/sitemesh/VelocityPageFilter.java,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8125
core/src/main/java/org/apache/struts2/interceptor/CookieInterceptor.java,277,0,18,42,0,0,15,52,89,49,0,90,0,3,0,8,40.1875
core/src/main/java/org/apache/struts2/config/Namespace.java,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,4
plugins/portlet/src/main/java/org/apache/struts2/portlet/PortletActionConstants.java,133,133,133,7,0,0,280,140,0,0,0,0,0,0,0,0,51.625
plugins/embeddedjsp/src/main/java/org/apache/struts2/JSPServletConfig.java,0,0,0,55,0,0,0,0,0,0,0,0,0,2,0,0,3.5625
core/src/main/java/org/apache/struts2/components/File.java,48,6,16,1,0,0,8,0,0,0,0,23,0,3,0,0,6.5625
trunk/core/src/test/java/org/apache/struts2/views/jsp/IteratorTagTest.java,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.4375
core/src/main/java/com/opensymphony/xwork2/ActionContext.java,0,0,0,0,0,0,0,0,0,0,0,359,7,30,0,354,46.875
xwork-core/src/main/java/com/opensymphony/xwork2/validator/DefaultActionValidatorManager.java,0,0,0,0,387,0,0,25,51,0,0,357,0,0,0,0,51.25
