Class,Xerces-J_1_1_0,Xerces-J_1_2_0,Xerces-J_1_3_0,Xerces-J_1_4_0,Xerces-J_2_0_0,Xerces-J_2_1_0,Xerces-J_2_2_0,Xerces-J_2_3_0,Xerces-J_2_4_0,Xerces-J_2_5_0,Xerces-J_2_6_0,Xerces-J_2_7_0,Xerces-J_2_8_0,Xerces-J_2_9_0,Xerces-J_2_10_0,Xerces-J_2_11_0,Xerces-J_2_12_0,average
src/org/apache/xerces/jaxp/validation/StAXEventResultBuilder.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,0,0,22.11764706
src/org/apache/xerces/jaxp/validation/ReadOnlyGrammarPool.java,0,0,0,0,0,0,0,0,0,0,0,62,0,11,0,0,0,4.294117647
src/org/apache/xerces/parsers/XMLGrammarCachingConfiguration.java,0,0,0,0,0,391,0,0,0,16,0,73,0,11,0,0,0,28.88235294
src/org/apache/xerces/impl/xs/traversers/XSDocumentInfo.java,0,0,0,0,188,38,0,0,0,56,0,104,3,11,19,0,0,24.64705882
src/org/apache/xerces/utils/regex/RangeToken.java,653,17,0,0,652,0,0,0,0,0,0,0,0,0,0,0,0,77.76470588
src/org/apache/xerces/util/JAXPNamespaceContextWrapper.java,0,0,0,0,0,0,0,0,0,0,0,0,126,11,46,0,0,10.76470588
src/org/apache/xerces/util/IntStack.java,0,0,0,0,153,10,0,0,0,0,5,67,0,11,0,0,0,14.47058824
src/org/w3c/dom/ls/DOMEntityResolver.java,0,0,0,0,0,71,4,0,40,75,0,0,0,0,0,0,0,11.17647059
src/org/apache/xerces/validators/dtd/CMBinOp.java,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.94117647
src/whiteboard/org/apache/xerces/tree/Resolver.java,506,0,0,0,506,0,0,0,0,0,0,0,0,0,0,0,0,59.52941176
src/org/apache/xerces/impl/xs/traversers/XSDHandler.java,0,0,0,0,1742,926,23,146,78,367,0,1685,18,27,2402,12,77,441.3529412
src/org/apache/html/dom/HTMLSelectElementImpl.java,56,0,9,0,2,0,0,0,0,8,0,87,2,11,0,0,0,10.29411765
src/org/apache/html/dom/HTMLBuilder.java,76,0,0,0,0,0,0,3,0,12,0,67,0,32,11,0,0,11.82352941
src/org/apache/xerces/jaxp/SAXParserFactoryImpl.java,39,64,25,93,5,2,0,0,0,10,0,127,0,66,0,0,0,25.35294118
src/org/apache/xml/serialize/IndentPrinter.java,403,34,0,0,8,0,0,2,0,0,0,67,0,19,4,0,0,31.58823529
src/org/apache/xerces/dom3/as/ASElementDeclaration.java,0,0,0,0,149,0,0,0,1,0,0,0,0,0,0,0,0,8.823529412
src/org/apache/xerces/xs/XSModelGroupDefinition.java,0,0,0,0,0,0,0,0,0,0,74,67,9,11,0,0,0,9.470588235
src/org/apache/xerces/dom/DOMStringListImpl.java,0,0,0,0,0,0,0,0,0,0,125,83,0,13,30,0,0,14.76470588
src/org/apache/xerces/xs/XSFacet.java,0,0,0,0,0,0,0,0,0,0,86,69,9,11,0,18,0,11.35294118
src/org/apache/xerces/impl/dv/XSAtomicSimpleType.java,0,0,0,0,130,130,0,0,0,0,0,0,0,0,0,0,0,15.29411765
src/org/apache/wml/dom/WMLAElementImpl.java,112,0,0,0,0,0,0,0,0,0,0,161,2,11,2,0,0,16.94117647
samples/xs/QueryXS.java,0,0,0,0,0,0,0,0,0,0,201,75,0,11,6,0,11,17.88235294
tests/schema/annotations/XSElementAnnotationsTest.java,0,0,0,0,0,0,0,0,0,0,0,0,256,11,0,0,0,15.70588235
samples/dom/GetElementsByTagName.java,0,0,0,0,409,0,0,0,0,0,5,202,26,11,0,0,0,38.41176471
src/org/apache/xml/serialize/BaseMarkupSerializer.java,1772,274,58,164,140,409,0,16,0,51,61,258,0,177,13,0,0,199.5882353
src/dom3/org/w3c/dom/DocumentType.java,0,0,0,0,0,95,0,0,48,22,2,83,0,0,0,0,0,14.70588235
src/org/apache/wml/dom/WMLTdElementImpl.java,96,0,0,0,0,0,0,0,0,0,0,129,2,11,2,0,0,14.11764706
src/org/apache/xerces/impl/xs/traversers/XSDAbstractParticleTraverser.java,0,0,0,0,367,262,0,13,0,72,0,238,24,18,4,2,0,58.82352941
src/org/apache/xerces/xni/XMLString.java,0,0,0,0,229,0,0,0,0,0,0,67,0,11,0,0,0,18.05882353
src/org/apache/xerces/domx/XGrammarWriter.java,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,68.11764706
src/org/apache/xml/serialize/DOMSerializer.java,2,2,0,0,2,0,0,0,0,0,0,67,0,16,3,0,0,5.411764706
src/org/apache/wml/WMLStrongElement.java,80,0,0,0,0,0,0,0,0,0,0,67,0,11,0,0,0,9.294117647
src/org/apache/xerces/dom3/ls/DOMWriterFilter.java,0,0,0,0,34,34,0,0,0,0,0,0,0,0,0,0,0,4
src/org/apache/xml/serialize/XMLSerializer.java,744,197,2,127,1238,1130,6,5,114,41,142,200,0,120,18,0,0,240.2352941
tests/schema/annotations/XSModelGroupAnnotationsTest.java,0,0,0,0,0,0,0,0,0,0,0,0,493,43,6,0,0,31.88235294
src/org/apache/xerces/validators/datatype/ENTITYDatatypeValidator.java,0,261,49,139,247,0,0,0,0,0,0,0,0,0,0,0,0,40.94117647
src/org/apache/xerces/utils/regex/REUtil.java,361,5,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,43.05882353
src/org/xml/sax/ext/LexicalHandler.java,161,0,90,0,0,0,0,0,211,0,0,0,0,0,0,0,0,27.17647059
src/javax/xml/parsers/SAXParser.java,197,108,396,0,233,0,26,6,480,0,0,0,0,0,0,0,0,85.05882353
samples/xni/parser/PSVIConfiguration.java,0,0,0,0,162,5,6,0,0,0,0,79,0,39,0,0,0,17.11764706
src/org/apache/xerces/stax/events/DTDImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,4.941176471
src/org/apache/xerces/dom/PSVIElementNSImpl.java,0,0,0,0,0,277,0,2,0,0,39,89,0,14,33,50,16,30.58823529
samples/jaxp/DatatypeAPIUsage.java,0,0,0,0,0,0,0,0,0,0,0,102,0,11,0,0,0,6.647058824
src/org/apache/xerces/xs/XSValue.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,5.705882353
samples/socket/DelayedInput.java,0,0,0,0,492,0,0,0,0,0,0,72,3,11,0,0,0,34
src/org/apache/xerces/util/SymbolTable.java,0,0,0,0,327,22,0,0,0,0,0,244,0,11,4,4,109,42.41176471
src/org/apache/xerces/xs/XSMultiValueFacet.java,0,0,0,0,0,0,0,0,0,0,81,69,3,11,0,7,0,10.05882353
tests/dom/events/DeferredDOM.java,0,0,0,338,338,0,0,0,0,0,0,0,0,0,0,0,0,39.76470588
src/org/apache/xerces/impl/xs/util/XSNamedMapImpl.java,0,0,0,0,0,208,0,8,0,0,2,84,10,11,215,2,0,31.76470588
src/org/apache/xerces/impl/dv/XSUnionSimpleType.java,0,0,0,0,77,77,0,0,0,0,0,0,0,0,0,0,0,9.058823529
src/org/w3c/dom/xpath/XPathResult.java,0,0,0,0,0,0,225,0,0,0,0,225,0,0,0,0,0,26.47058824
src/org/apache/xerces/impl/xs/psvi/XSFacet.java,0,0,0,0,0,0,0,0,0,82,82,0,0,0,0,0,0,9.647058824
src/org/apache/xerces/parsers/DOMASBuilderImpl.java,0,0,0,0,404,191,0,0,1,39,10,67,0,11,0,0,0,42.52941176
src/org/apache/xerces/validators/schema/SchemaMessageProvider.java,108,0,33,56,251,0,0,0,0,0,0,0,0,0,0,0,0,26.35294118
src/org/apache/xerces/impl/XMLVersionDetector.java,0,0,0,0,0,0,0,682,617,0,133,74,19,11,22,0,0,91.64705882
src/org/apache/xerces/validators/datatype/ConstrainException.java,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.235294118
src/org/apache/wml/WMLNoopElement.java,69,0,0,0,0,0,0,0,0,0,0,67,0,11,0,0,0,8.647058824
src/org/apache/html/dom/HTMLBaseFontElementImpl.java,56,0,2,0,2,0,0,0,0,3,0,73,2,11,0,0,0,8.764705882
src/org/apache/xerces/impl/xs/traversers/XSDUniqueOrKeyTraverser.java,0,0,0,0,119,7,0,0,0,8,0,69,0,15,27,0,0,14.41176471
src/org/apache/xerces/impl/xs/models/XSCMUniOp.java,0,0,0,0,136,0,0,0,0,0,0,69,0,13,0,0,0,12.82352941
src/org/apache/xerces/impl/dv/dtd/XML11IDREFDatatypeValidator.java,0,0,0,0,0,0,0,110,0,11,0,69,0,11,3,0,0,12
src/org/apache/xerces/impl/io/MalformedByteSequenceException.java,0,0,0,0,0,0,0,0,0,0,0,136,0,11,5,0,0,8.941176471
src/org/apache/xerces/util/XMLLocatorWrapper.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,6.411764706
src/org/apache/xerces/xni/QName.java,0,0,0,0,233,0,0,0,0,0,0,74,8,11,0,0,0,19.17647059
