Class,activemq-4.1.0,activemq-5.0.0,activemq-5.1.0,activemq-5.2.0,activemq-5.3.0,activemq-5.4.0,activemq-5.5.0,activemq-5.6.0,activemq-5.7.0,activemq-5.8.0,activemq-5.9.0,activemq-5.10.0,activemq-5.11.0,activemq-5.12.0,activemq-5.13.0,activemq-5.14.0,activemq-5.15.0,activemq-5.16.0,activemq-5.17.0,,average
assembly/src/test/java/org/apache/activemq/usecases/StartAndStopBrokerTest.java,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.105263158
activemq-client/src/main/java/org/apache/activemq/openwire/v1/BaseDataStreamMarshaller.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,,0.684210526
activemq-amqp/src/test/java/org/apache/activemq/transport/amqp/client/AmqpMessage.java,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,80,6,0,0,,16.89473684
activemq-kahadb-store/src/main/java/org/apache/activemq/store/kahadb/plist/PListStoreImpl.java,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,30,0,0,,1.736842105
activemq-core/src/test/java/org/apache/activemq/bugs/SlowConsumerTest.java,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8.421052632
activemq-camel/src/main/java/org/apache/activemq/camel/component/package.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,,1.526315789
activemq-core/src/main/java/org/apache/activemq/store/leveldb/package.html,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,,1.421052632
activemq-core/src/test/java/org/apache/activemq/JMSExclusiveConsumerTest.java,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.736842105
activemq-core/src/main/java/org/apache/activemq/command/ActiveMQStreamMessage.java,173,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10.05263158
activemq-core/src/main/java/org/apache/activemq/transport/multicast/package.html,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.842105263
kahadb/src/main/java/org/apache/kahadb/index/ListIndex.java,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,,4.947368421
activemq-unit-tests/src/test/java/org/apache/activemq/transport/vm/VMTransportBrokerNameTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,,4.263157895
activemq-client/src/main/java/org/apache/activemq/filter/DestinationFilter.java,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,,2.684210526
activemq-client/src/main/java/org/apache/activemq/command/ActiveMQObjectMessage.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,,0.473684211
activemq-camel/src/main/java/org/apache/activemq/camel/converter/ActiveMQConverter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,,2.210526316
activemq-unit-tests/src/test/java/org/apache/activemq/ProducerFlowControlTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,20,,3.684210526
activemq-broker/src/main/java/org/apache/activemq/broker/jmx/Log4JConfigView.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,,5.157894737
activemq-core/src/test/java/org/apache/activemq/blob/FTPBlobUploadStrategyTest.java,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,,6
activemq-web-demo/src/main/webapp/test/amq_test.html,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,,1.157894737
activemq-core/src/main/java/org/apache/activemq/util/ByteArrayOutputStream.java,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,,0.842105263
activemq-core/src/test/java/org/apache/activemq/usecases/ConsumeUncompressedCompressedMessageTest.java,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,,10.05263158
activemq-console/src/main/java/org/apache/activemq/console/command/QueryCommand.java,0,10,0,0,0,0,1,0,0,0,0,0,0,136,0,0,0,0,0,,7.736842105
activemq-core/src/main/java/org/apache/activemq/transport/mqtt/MQTTProtocolConverter.java,0,0,0,0,0,0,0,0,53,168,0,0,0,0,0,0,0,0,0,,11.63157895
