Class,cassandra-0.4.0-final,cassandra-0.5.0,cassandra-0.6.0,cassandra-0.7.0,cassandra-0.8.0,cassandra-1.0.0,cassandra-1.1.0,cassandra-1.2.0,cassandra-2.0.0,cassandra-2.1.0,cassandra-2.2.0,cassandra-3.0.0,cassandra-3.1,cassandra-3.2,cassandra-3.3,cassandra-3.4,cassandra-3.5,cassandra-3.6,cassandra-3.7,cassandra-3.8,cassandra-4.0.0,cassandra-4.0.5,,average
drivers/java/test/org/apache/cassandra/cql/jdbc/PreparedStatementTest.java,0,0,0,0,17,384,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,19
src/java/org/apache/cassandra/db/ReadVerbHandler.java,246,38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12.95454545
interface/thrift/gen-java/org/apache/cassandra/thrift/KeyRange.java,0,0,128,21,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.590909091
src/java/org/apache/cassandra/io/SSTableDeletingReference.java,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.318181818
drivers/py/test/test_query_compression.py,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.181818182
test/unit/org/apache/cassandra/db/TimeSortTest.java,20,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.727272727
src/java/org/apache/cassandra/utils/SafeMessageDigest.java,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7.727272727
src/java/org/apache/cassandra/service/PBSPredictionResult.java,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.772727273
src/java/org/apache/cassandra/db/LivenessInfo.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,,1.5
src/java/org/apache/cassandra/db/compaction/Scrubber.java,0,0,0,0,0,0,0,10,37,2,0,32,0,0,0,0,0,0,0,0,0,153,,10.63636364
test/data/legacy-sstables/hb/Keyspace1/Keyspace1-Indexed1-hb-1-Digest.sha1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.045454545
src/java/org/apache/cassandra/utils/Pair.java,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.181818182
.circleci/config.yml.HIGHRES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,,3.045454545
src/java/org/apache/cassandra/db/compaction/CompactionController.java,0,0,0,0,0,24,37,77,12,0,19,0,0,0,0,0,0,0,0,0,0,0,,7.681818182
src/java/org/apache/cassandra/cache/RowCacheKey.java,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.636363636
conf/storage-conf.xml,608,48,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,31.18181818
src/java/org/apache/cassandra/gms/VersionGenerator.java,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.363636364
src/java/org/apache/cassandra/db/compaction/CompactionIterator.java,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,,0.409090909
test/unit/org/apache/cassandra/db/context/CounterContextTest.java,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6.590909091
src/java/org/apache/cassandra/thrift/TFramedTransportFactory.java,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.318181818
test/data/legacy-sstables/hb/Keyspace1/Indexed1.626972746864617465-hb-1-Digest.sha1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.045454545
src/java/org/apache/cassandra/cql/jdbc/JdbcUTF8.java,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.272727273
test/unit/org/apache/cassandra/db/CleanupTest.java,0,0,0,183,75,0,5,0,3,30,0,0,0,0,0,0,0,0,0,0,0,0,,13.45454545
src/java/org/apache/cassandra/cache/SerializingCache.java,0,0,0,0,0,18,17,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.5
src/java/org/apache/cassandra/db/marshal/AbstractType.java,20,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,18,0,,2
test/unit/org/apache/cassandra/cql3/UseStatementTest.java,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,0.090909091
src/java/org/apache/cassandra/cql3/statements/CreateIndexStatement.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0.136363636
src/java/org/apache/cassandra/cql/DeleteStatement.java,0,0,0,0,0,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.454545455
interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnDef.java,0,0,0,0,0,22,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.727272727
src/java/org/apache/cassandra/locator/SimpleSeedProvider.java,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.090909091
src/java/org/apache/cassandra/service/RangeVerbHandler.java,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.136363636
src/java/org/apache/cassandra/security/SSLFactory.java,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,,3.954545455
bin/cassandra.in.sh,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.045454545
