Class,3.0.1,3.0.2,3.1.2,3.1.3,4,4.0.1,4.0.2,4.1,4.1.1,,average
docs/docbook/stylesheets/html.xsl,0,0,80,0,80,0,0,0,0,,17.77777778
cayenne-server/src/test/java/org/apache/cayenne/testdo/inheritance_with_enum/auto/_Sub.java,0,0,0,0,28,0,0,87,0,,12.77777778
cayenne-server/src/test/java/org/apache/cayenne/access/translator/batch/SoftDeleteBatchTranslatorTest.java,0,0,0,0,203,0,0,0,0,,22.55555556
framework/cayenne-project/src/main/java/org/apache/cayenne/project/ProjectLoader.java,0,0,34,0,0,0,0,0,0,,3.777777778
cayenne-server/src/main/java/org/apache/cayenne/util/PersistentObjectMap.java,0,0,0,0,26,0,0,2,0,,3.111111111
cayenne-server/src/test/java/org/apache/cayenne/exp/parser/ASTSubstringTest.java,0,0,0,0,13,0,0,0,0,,1.444444444
cayenne-di/src/main/java/org/apache/cayenne/di/ScopeEventListener.java,0,0,0,0,19,0,0,0,0,,2.111111111
tutorials/tutorial/pom.xml,0,0,0,0,4,0,0,0,0,,0.444444444
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/query/ProcedureQueryCacheKeyTest.java,0,0,17,0,0,0,0,0,0,,1.888888889
framework/cayenne-jdk1.5-unpublished/src/test/java/org/apache/cayenne/testdo/qualified/auto/_Qualified4.java,0,0,0,54,0,0,0,0,0,,6
cayenne-server/src/test/java/org/apache/cayenne/testdo/cay_2032/Team.java,0,0,0,0,9,0,0,0,0,,1
modeler/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/editor/dbimport/domain/DbImportTabController.java,0,0,0,0,0,0,0,7,0,,0.777777778
cayenne-server/src/main/java/org/apache/cayenne/exp/parser/EvaluatedMathNode.java,0,0,0,0,58,0,0,0,0,,6.444444444
cayenne-server/src/main/java/org/apache/cayenne/access/jdbc/BindDirective.java,0,0,0,0,175,0,0,0,0,,19.44444444
framework/cayenne-tools/src/test/java/org/apache/cayenne/gen/ClassGenerationActionTest.java,12,0,0,0,0,0,0,0,0,,1.333333333
framework/cayenne-jdk1.5-unpublished/src/main/java/org/apache/cayenne/access/trans/BatchQueryBuilder.java,0,0,0,0,39,0,0,0,0,,4.333333333
