Class,cxf-2.2,cxf-2.3.0,cxf-2.4.0,cxf-2.5.0,cxf-2.6.0,cxf-2.7.0,cxf-3.0.0,cxf-3.1.0,cxf-3.2.0,cxf-3.3.0,cxf-3.4.0,cxf-3.5.0,cxf-3.5.3,,average
systests/jaxrs/src/test/java/org/apache/cxf/systest/jaxrs/JAXRSClientServerStreamingTest.java,0,0,0,0,26,0,2,0,0,0,0,0,0,,2.153846154
common/common/src/main/resources/META-INF/spring.schemas,21,0,0,0,0,0,0,0,0,0,0,0,0,,1.615384615
systests/jaxrs/src/test/java/org/apache/cxf/systest/jaxrs/XForwardedServletFilter.java,0,0,0,0,0,0,0,0,81,0,0,0,0,,6.230769231
tools/javato/ws/src/main/java/org/apache/cxf/tools/java2wsdl/generator/wsdl11/BeanGenerator.java,0,0,0,0,0,0,0,0,0,0,2,0,0,,0.153846154
rt/databinding/xmlbeans/src/main/java/org/apache/cxf/xmlbeans/DataWriterImpl.java,2,62,26,0,0,0,4,0,0,0,0,0,0,,7.230769231
systests/jaxrs/src/test/java/org/apache/cxf/systest/jaxrs/AbstractBookStoreSpring.java,0,0,0,0,0,0,27,0,0,0,0,0,0,,2.076923077
rt/rs/client/src/test/java/org/apache/cxf/jaxrs/client/cache/ClientCacheTest.java,0,0,0,0,0,0,0,0,16,0,0,23,0,,3
rt/frontend/jaxrs/src/test/java/org/apache/cxf/jaxrs/provider/BinaryDataProviderTest.java,0,0,0,0,0,0,21,0,0,0,0,0,0,,1.615384615
services/xkms/xkms-x509-repo-ldap/src/test/java/org/apache/cxf/xkms/x509/repo/ldap/LDAPCertificateRepoTest.java,0,0,0,0,0,0,0,0,0,0,150,0,0,,11.53846154
systests/jaxrs/src/test/resources/jaxrs_non_spring/WEB-INF/cxfServletStaticResourcesMap.txt,0,0,0,0,0,0,1,0,0,0,0,0,0,,0.076923077
rt/frontend/jaxws/src/test/java/org/apache/cxf/jaxws/EndpointImplTest.java,0,34,0,0,0,0,0,16,0,0,0,0,0,,3.846153846
rt/frontend/jaxrs/src/main/java/org/apache/cxf/jaxrs/validation/ValidationExceptionMapper.java,0,0,0,0,0,0,0,18,0,0,0,0,0,,1.384615385
rt/javascript/javascript-rt/src/test/java/org/apache/cxf/javascript/BasicNameManagerTest.java,0,0,0,0,39,0,0,0,0,0,0,0,0,,3
tools/javato/ws/src/test/java/org/apache/cxf/tools/fortest/cxf4877/Hello.java,0,0,0,0,0,0,42,0,0,0,0,0,0,,3.230769231
rt/rs/security/jose-parent/jose/src/main/java/org/apache/cxf/rs/security/jose/jwk/JwkUtils.java,0,0,0,0,0,0,0,0,49,20,0,67,0,,10.46153846
systests/ws-security/src/test/java/org/apache/cxf/systest/ws/policy/handler/DummyHandler.java,0,0,0,0,0,0,0,54,0,0,0,0,0,,4.153846154
systests/rs-security/src/test/resources/org/apache/cxf/systest/jaxrs/security/xml/client.xml,0,0,0,0,0,0,0,0,2,0,0,0,0,,0.153846154
rt/bindings/soap/src/main/java/org/apache/cxf/binding/soap/interceptor/MustUnderstandInterceptor.java,101,16,62,0,0,0,41,0,0,0,0,0,0,,16.92307692
systests/ws-rm/src/test/java/org/apache/cxf/systest/ws/rm/exactlyonce-inorder-decoupled.xml,0,0,0,0,0,0,0,0,2,0,0,0,0,,0.153846154
systests/jaxws/src/test/java/org/apache/cxf/systest/jaxws/ClientServerMiscTest.java,0,34,11,0,15,0,36,0,26,0,4,0,0,,9.692307692
distribution/src/main/release/samples/pom.xml,0,0,6,0,0,0,0,0,4,1,0,4,2,,1.307692308
rt/frontend/jaxrs/src/main/java/org/apache/cxf/jaxrs/validation/ValidationUtils.java,0,0,0,0,0,0,0,3,0,0,0,0,0,,0.230769231
core/src/main/java/org/apache/cxf/common/spi/GeneratedNamespaceClassLoader.java,0,0,0,0,0,0,0,0,0,0,0,7,0,,0.538461538
systests/uncategorized/src/test/resources/META-INF/jax-ws-catalog.xml,0,0,1,0,0,0,0,0,0,0,0,0,0,,0.076923077
systests/jaxrs/src/test/java/org/apache/cxf/systest/jaxrs/JAXRS20ClientServerBookTest.java,0,0,0,0,0,0,278,180,131,88,0,23,0,,53.84615385
distribution/src/main/release/samples/jms_spring_config/src/main/java/com/example/customerservice/server/CustomerServiceSpringServer.java,0,0,0,0,0,0,0,14,0,0,0,0,0,,1.076923077
rt/frontend/jaxws/src/main/java/org/apache/cxf/jaxws/EndpointImpl.java,30,58,8,0,2,0,6,4,0,0,0,0,0,,8.307692308
rt/rs/security/oauth-parent/oauth2/src/main/java/org/apache/cxf/rs/security/oauth2/tokens/refresh/RefreshToken.java,0,0,0,0,0,0,0,0,49,0,0,0,0,,3.769230769
integration/tracing/tracing-opentracing/src/main/java/org/apache/cxf/tracing/opentracing/OpenTracingClientStartInterceptor.java,0,0,0,0,0,0,0,0,0,0,11,0,0,,0.846153846
systests/uncategorized/src/test/java/org/apache/cxf/systest/exception/GenericsEchoImpl.java,0,0,0,0,0,0,36,0,0,0,0,0,0,,2.769230769
rt/core/src/main/java/org/apache/cxf/interceptor/transform/TransformInInterceptor.java,0,0,0,6,0,0,0,0,0,0,0,0,0,,0.461538462
rt/rs/security/xml/src/main/java/org/apache/cxf/rs/security/xml/AbstractXmlSigInHandler.java,0,0,0,0,0,0,44,0,0,0,0,0,0,,3.384615385
rt/ws/policy/src/test/java/org/apache/cxf/ws/policy/PolicyVerificationInFaultInterceptorTest.java,0,0,0,4,0,0,0,0,0,0,0,0,0,,0.307692308
tools/corba/src/test/resources/idl/expected_duplicateAttribute.wsdl,0,0,256,0,0,0,0,0,0,0,0,0,0,,19.69230769
rt/rs/security/jose-parent/jose-jaxrs/src/main/java/org/apache/cxf/rs/security/jose/jaxrs/JwtTokenSecurityContext.java,0,0,0,0,0,0,0,0,0,0,0,0,19,,1.461538462
services/sts/systests/basic/src/test/resources/org/apache/cxf/systest/sts/x509_symmetric/cxf-client.xml,0,0,0,0,0,29,0,0,0,0,0,0,0,,2.230769231
maven-plugins/wsdl-validator-plugin/src/main/java/org/apache/cxf/maven_plugin/CodegenUtils.java,89,0,0,0,0,0,0,0,0,0,0,0,0,,6.846153846
systests/rs-security/src/test/java/org/apache/cxf/systest/jaxrs/security/jose/BookStore.java,0,0,0,0,0,0,0,0,2,0,0,0,0,,0.153846154
systests/transports/src/test/resources/org/apache/cxf/systest/http_jetty/jetty-engine.xml,0,0,0,0,0,0,0,0,2,0,0,0,0,,0.153846154
systests/cdi/base/src/main/java/org/apache/cxf/systests/cdi/base/BookStoreVersioned.java,0,0,0,0,0,0,0,0,39,0,0,0,0,,3
