Class,drill-0.4.0,drill-0.7.0,drill-0.8.0,drill-0.9.0,drill-1.0.0,drill-1.1.0,drill-1.2.0,drill-1.3.0,drill-1.4.0,drill-1.5.0,drill-1.6.0,drill-1.7.0,drill-1.8.0,drill-1.9.0,drill1.10.0,drill-1.11.0,drill-1.12.0,drill-1.13.0,drill-1.14.0,drill-1.15.0,drill-1.16.0,drill-1.17.0,drill-1.18.0,drill-1.19.0,drill-1.20.0,,average
exec/java-exec/src/main/java/org/apache/drill/exec/resolver/FunctionResolverFactory.java,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.44
common/src/main/java/org/apache/drill/common/EventProcessor.java,0,0,104,104,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,,11.56
exec/java-exec/src/main/java/org/apache/drill/exec/planner/torel/ConversionContext.java,16,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.6
exec/java-exec/src/test/resources/functions/cast/two_way_implicit_cast.json,36,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.92
sqlparser/src/test/java/org/apache/drill/jdbc/test/TestJdbcDistQuery.java,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8.72
exec/java-exec/src/test/java/org/apache/drill/exec/fn/impl/TestDateTruncFunctions.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,,5.56
exec/java-exec/src/test/java/org/apache/drill/exec/physical/impl/TestSchema.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,4,0,0,0,0,,1.32
exec/java-exec/src/main/java/org/apache/drill/exec/planner/physical/HashToMergeExchangePrel.java,150,9,0,24,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,,7.88
exec/java-exec/src/test/java/org/apache/drill/exec/physical/impl/xsort/managed/TestSortImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,76,0,0,0,0,0,0,0,,3.52
exec/java-exec/src/main/java/org/apache/drill/exec/store/hive/schema/DrillHiveTable.java,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6.84
exec/java-exec/src/main/codegen/data/DecimalAggrTypes1.tdd,78,14,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,6,0,0,0,,4.92
exec/java-exec/src/main/java/org/apache/drill/exec/store/easy/text/compliant/HeaderBuilder.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0,0,0,,10.96
