Class,rel/0.18.0,rel/0.19.0,rel/0.20.0,rel/0.90.0,rel/0.92.0,rel/0.94.0,rel/0.96.0,rel/0.98.0,rel/0.99.0,rel/1.0.0,rel/1.1.0,rel/1.2.0,rel/1.3.0,rel/1.4.0,rel/1.5.0,rel/1.6.0,rel/1.7.0,rel/2.0.0,rel/2.1.0,rel/2.2.0,rel/2.3.0,rel/2.4.0,rel/3.0.0-alpha-1,rel/3.0.0-alpha-3,average
hbase-server/src/test/java/org/apache/hadoop/hbase/quotas/TestQuotaState.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,81,38,0,0,0,38,0,8.041666667
src/main/java/org/apache/hadoop/hbase/LocalHBaseCluster.java,0,0,0,120,18,18,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.166666667
hbase-server/src/test/java/org/apache/hadoop/hbase/wal/WALCorruptionDueToDanglingByteBufferTestBase.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,92,0,7.666666667
hbase-client/src/main/java/org/apache/hadoop/hbase/client/HTablePool.java,0,0,0,0,0,0,63,75,19,0,0,0,16,44,0,0,0,664,0,0,0,0,0,0,36.70833333
hbase-server/src/main/java/org/apache/hadoop/hbase/regionserver/MemStoreCompactionStrategy.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,16,0,0,0,21,0,2.416666667
hbase-server/src/test/java/org/apache/hadoop/hbase/master/procedure/TestMasterProcedureWalLease.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,4,0,10.29166667
hbase-server/src/main/java/org/apache/hadoop/hbase/wal/FSHLogProvider.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0,0,3,0,0.833333333
src/test/org/apache/hadoop/hbase/io/TestHbaseObjectWritable.java,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208333333
src/main/java/org/apache/hadoop/hbase/master/CatalogJanitor.java,0,0,0,273,237,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.375
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/EncodedSeekPerformanceTest.java,0,0,0,0,0,0,0,28,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,1.416666667
hbase-server/src/main/java/org/apache/hadoop/hbase/master/snapshot/SnapshotFileCache.java,0,0,0,0,0,0,8,8,22,0,0,0,17,51,197,0,0,51,0,194,192,62,380,0,49.25
hbase-server/src/main/java/org/apache/hadoop/hbase/master/RegionPlacementMaintainer.java,0,0,0,0,0,0,38,53,0,0,0,0,6,6,0,0,0,20,0,0,2,0,6,0,5.458333333
hbase-server/src/test/java/org/apache/hadoop/hbase/mapreduce/TestCopyTable.java,0,0,0,0,0,0,0,0,0,17,0,0,20,20,0,0,0,351,0,0,0,0,262,0,27.91666667
src/main/java/org/apache/hadoop/hbase/mapreduce/LoadIncrementalHFiles.java,0,0,0,0,520,393,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.25
src/main/java/org/apache/hadoop/hbase/ipc/CoprocessorProtocol.java,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
hbase-server/src/main/java/org/apache/hadoop/hbase/master/MasterMetaBootstrap.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,41,0,0,4,48,0,4.083333333
hbase-server/src/test/java/org/apache/hadoop/hbase/regionserver/querymatcher/AbstractTestScanQueryMatcher.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0.5
hbase-server/src/main/java/org/apache/hadoop/hbase/util/Merge.java,0,0,0,0,0,0,19,10,6,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1.958333333
hbase-server/src/main/java/org/apache/hadoop/hbase/filter/InvalidRowFilterException.java,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125
src/test/java/org/apache/hadoop/hbase/util/TestFSUtils.java,0,0,0,48,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.416666667
hbase-server/src/test/java/org/apache/hadoop/hbase/mapred/TestSplitTable.java,0,0,0,0,0,0,0,0,53,0,0,0,0,8,8,0,0,177,0,0,0,0,116,0,15.08333333
