Class,release-0.4.0,release-0.5.0,release-0.6.0,release-0.7.0,release-0.8.0,release-0.9.0,release-0.10.0,release-0.11.0,release-0.12.0,release-0.13.0,release-0.14.0,release-1.0.0,release-1.1.0,release-1.2.0,release-2.0.0,rel/release-2.1.0,rel/release-2.2.0,rel/release-2.3.0,rel/release-3.0.0,rel/release-3.1.0,rel/release-3.1.3,average
standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/model/MTablePrivilege.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.095238095
testutils/ptest2/src/test/java/org/apache/hive/ptest/execution/TestCleanupPhase.java,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0.857142857
ql/src/gen/thrift/gen-javabean/org/apache/hadoop/hive/ql/plan/api/Task.java,0,0,0,0,0,0,582,0,0,0,0,0,0,0,14,0,0,0,0,0,0,28.38095238
metastore/src/java/org/apache/hadoop/hive/metastore/messaging/event/filters/AndFilter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1.047619048
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/StringUnaryUDFDirect.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,132,0,0,7.238095238
standalone-metastore/src/main/java/org/apache/hadoop/hive/metastore/security/DelegationTokenSecretManager.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,1
common/src/java/org/apache/hadoop/hive/common/DiskRangeList.java,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,9.761904762
ql/src/test/org/apache/hadoop/hive/ql/exec/persistence/TestPTFRowContainer.java,0,0,0,0,0,0,0,0,0,2,3,0,0,0,31,0,0,4,2,0,0,2
ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/stats/FilterSelectivityEstimator.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48,0,0,11,0,0,5.095238095
ql/src/test/org/apache/hadoop/hive/ql/io/avro/TestAvroGenericRecordReader.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,2,0,0,2.904761905
ql/src/test/org/apache/hadoop/hive/ql/io/orc/TestMemoryManager.java,0,0,0,0,0,0,0,22,22,2,0,0,0,0,0,0,0,0,0,0,0,2.19047619
hcatalog/core/src/test/java/org/apache/hive/hcatalog/mapreduce/TestHCatPartitioned.java,0,0,0,0,0,0,0,0,0,17,0,0,0,32,32,0,0,0,2,0,0,3.952380952
service-rpc/src/gen/thrift/gen-javabean/org/apache/hive/service/rpc/thrift/TGetQueryIdResp.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1167,0,0,55.57142857
service/src/gen/thrift/gen-javabean/org/apache/hive/service/cli/thrift/TCancelOperationReq.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0.476190476
serde/src/java/org/apache/hadoop/hive/serde2/lazy/objectinspector/primitive/LazyFloatObjectInspector.java,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2.428571429
orc/src/test/org/apache/orc/TestOrcNullOptimization.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,415,0,0,0,39.52380952
ql/src/test/org/apache/hadoop/hive/ql/udf/generic/TestGenericUDFSortArrayByField.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.095238095
ql/src/java/org/apache/hadoop/hive/ql/exec/repl/bootstrap/events/filesystem/FSFunctionEvent.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,1.428571429
ql/src/java/org/apache/hadoop/hive/ql/hooks/QueryLifeTimeHookContext.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.095238095
itests/util/src/main/java/org/apache/hadoop/hive/ql/udf/UDAFTestMax.java,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0.19047619
ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/stats/HiveRelMdSize.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,2,0,0,2.476190476
ql/src/java/org/apache/hadoop/hive/ql/io/HiveIgnoreKeyTextOutputFormat.java,3,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0.857142857
ql/src/java/org/apache/hadoop/hive/ql/optimizer/physical/SparkCrossProductCheck.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1.047619048
serde/src/java/org/apache/hadoop/hive/serde2/Serializer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0.333333333
hbase-handler/src/java/org/apache/hadoop/hive/hbase/HBaseCompositeKey.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.095238095
ql/src/test/org/apache/hadoop/hive/ql/udaf/TestStreamingMin.java,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,2,0,0,6.238095238
ql/src/test/org/apache/hadoop/hive/ql/udf/generic/GenericUDFEvaluateNPE.java,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.142857143
jdbc-handler/src/test/java/org/apache/hive/config/TestJdbcStorageConfigManager.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,4.19047619
ql/src/test/org/apache/hadoop/hive/ql/security/authorization/plugin/sqlstd/TestSQLStdHiveAccessControllerHS2.java,0,0,0,0,0,0,0,0,0,0,211,0,88,0,0,0,4,4,5,0,0,14.85714286
ql/src/java/org/apache/hadoop/hive/ql/parse/ExplainSQRewriteSemanticAnalyzer.java,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,2,0,0,0.380952381
hcatalog/webhcat/java-client/src/main/java/org/apache/hive/hcatalog/api/repl/exim/CreateTableReplicationTask.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.095238095
itests/hive-jmh/src/main/java/org/apache/hive/benchmark/vectorization/mapjoin/MapJoinMultiKeyBench.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,0,0,19.47619048
shims/common/src/main/java/org/apache/hadoop/hive/shims/Utils.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,111,2,0,0,11.61904762
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/CastFloatToVarChar.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,2.666666667
metastore/src/java/org/apache/hadoop/hive/metastore/partition/spec/PartitionSpecWithSharedSDProxy.java,0,0,0,0,0,0,0,0,0,0,18,0,18,0,0,0,0,0,0,0,0,1.714285714
serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/primitive/WritableConstantHiveVarcharObjectInspector.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.095238095
beeline/src/java/org/apache/hive/beeline/DeprecatedSeparatedValuesOutputFormat.java,0,0,0,0,0,0,0,0,0,0,73,0,73,5,0,0,0,0,2,0,0,7.285714286
metastore/src/java/org/apache/hadoop/hive/metastore/columnstats/merge/StringColumnStatsMerger.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0.952380952
llap-server/src/java/org/apache/hadoop/hive/llap/daemon/impl/comparator/ShortestJobFirstComparator.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,27,4,0,0,2.571428571
beeline/src/java/org/apache/hive/beeline/ClassNameCompleter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,2.571428571
accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/columns/ColumnMapper.java,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0.19047619
itests/hive-unit/src/test/java/org/apache/hadoop/hive/metastore/AbstractTestAuthorizationApiAuthorizer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,1.142857143
hcatalog/server-extensions/src/main/java/org/apache/hive/hcatalog/messaging/AlterPartitionMessage.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.095238095
orc/src/test/org/apache/hive/orc/impl/TestBitFieldReader.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,6.904761905
ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDFOPDTIPlus.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.095238095
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/StringColumnInList.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,25,120,0,0,7.095238095
serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/UnionObject.java,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1.714285714
ql/src/java/org/apache/hadoop/hive/ql/parse/repl/load/message/AddForeignKeyHandler.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.142857143
serde/src/java/org/apache/hadoop/hive/serde2/objectinspector/primitive/IntObjectInspector.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.095238095
ql/src/java/org/apache/hadoop/hive/ql/optimizer/calcite/translator/PlanModifierUtil.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,2,0,0,2.523809524
service/src/java/org/apache/hive/service/cli/thrift/ThriftBinaryCLIService.java,0,0,0,0,0,0,0,0,0,0,27,0,5,5,14,64,0,0,2,0,0,5.571428571
ql/src/java/org/apache/hadoop/hive/ql/plan/RCFileMergeDesc.java,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,2,0,0,1.80952381
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/VectorUDFDayOfMonthString.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.285714286
ql/src/java/org/apache/hadoop/hive/ql/lockmgr/EmbeddedLockManager.java,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0.714285714
common/src/java/org/apache/hadoop/hive/common/ndv/fm/FMSketch.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,0,0,17.0952381
ql/src/test/org/apache/hadoop/hive/ql/udf/generic/TestGenericUDFGreatest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,2,0,0,7.380952381
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/CastDecimalToVarChar.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,29,13,0,0,2.19047619
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/expressions/aggregates/VectorUDAFCountMerge.java,0,0,0,0,0,0,0,0,0,0,400,0,0,0,32,0,0,30,525,0,0,47
ql/src/test/org/apache/hadoop/hive/ql/parse/authorization/plugin/sqlstd/TestOperation2Privilege.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.095238095
hcatalog/core/src/main/java/org/apache/hive/hcatalog/data/transfer/DataTransferFactory.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.095238095
service/src/gen/thrift/gen-javabean/org/apache/hive/service/cli/thrift/TI32Column.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0.476190476
hcatalog/hcatalog-pig-adapter/src/test/java/org/apache/hive/hcatalog/pig/TestHCatLoaderComplexSchema.java,0,0,0,0,0,0,0,0,0,0,50,0,50,7,0,0,0,5,2,0,0,5.428571429
ql/src/test/org/apache/hadoop/hive/ql/io/orc/TestInStream.java,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,20,0,0,0,0,0,2.19047619
ql/src/java/org/apache/hadoop/hive/ql/exec/vector/mapjoin/VectorMapJoinRowBytesContainer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,24,0,0,0,0,0,1.761904762
ql/src/test/org/apache/hadoop/hive/ql/index/SplitFilterTestCase.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,153,2,0,0,14.66666667
ql/src/java/org/apache/hadoop/hive/ql/udf/generic/GenericUDTF.java,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.80952381
ql/src/test/org/apache/hadoop/hive/ql/exec/vector/expressions/TestVectorDateDiff.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645,0,30.71428571
orc/src/java/org/apache/hive/orc/TimestampColumnStatistics.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,1.80952381
hcatalog/src/test/e2e/hcatalog/udfs/java/org/apache/hive/hcatalog/utils/HCatTestDriver.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.095238095
ql/src/java/org/apache/hadoop/hive/ql/exec/mr/JobDebugger.java,0,0,0,0,0,0,0,0,336,14,0,0,0,0,0,0,0,0,2,0,0,16.76190476
