Class,v0.3.0,v0.4.0-incubating,v0.5.0-incubating,v0.6.0-incubating,v0.7.0-incubating,average
rsc/src/main/java/org/apache/livy/rsc/ContextLauncher.java,0,0,0,0,7,1.4
examples/src/main/java/com/cloudera/livy/examples/PiApp.java,102,0,0,0,0,20.4
rsc/src/main/java/com/cloudera/livy/rsc/driver/RSCDriverBootstrapper.java,1,0,0,0,0,0.2
rsc/src/main/java/com/cloudera/livy/rsc/ContextLauncher.java,17,0,0,0,0,3.4
rsc/src/test/java/org/apache/livy/rsc/driver/TestRSCDriver.java,0,0,0,0,36,7.2
rsc/src/test/java/org/apache/livy/rsc/TestSparkClient.java,0,0,0,76,0,15.2
thriftserver/session/src/main/java/org/apache/livy/thriftserver/session/CleanupStatementJob.java,0,0,0,0,7,1.4
client-common/src/main/java/com/cloudera/livy/client/common/Serializer.java,7,0,0,0,0,1.4
client-http/src/main/java/com/cloudera/livy/client/http/HttpConf.java,0,59,0,0,0,11.8
thriftserver/session/src/main/java/org/apache/livy/thriftserver/session/DataType.java,0,0,0,0,3,0.6
thriftserver/session/src/test/java/org/apache/livy/thriftserver/session/ThriftSessionTest.java,0,0,0,0,12,2.4
rsc/src/main/java/org/apache/livy/rsc/driver/JobWrapper.java,0,0,0,40,0,8
rsc/src/test/java/com/cloudera/livy/rsc/rpc/TestRpc.java,3,0,0,0,0,0.6
client-common/src/test/java/com/cloudera/livy/client/common/TestSerializer.java,11,0,0,0,0,2.2
client-common/src/test/java/com/cloudera/livy/client/common/TestClientConf.java,0,75,0,0,0,15
thriftserver/session/src/test/java/org/apache/livy/thriftserver/session/ColumnBufferTest.java,0,0,0,48,0,9.6
rsc/src/main/java/org/apache/livy/rsc/driver/RSCDriver.java,0,0,0,8,6,2.8
rsc/src/main/java/org/apache/livy/rsc/RSCConf.java,0,0,0,0,3,0.6
rsc/src/main/java/org/apache/livy/rsc/driver/BypassJobWrapper.java,0,0,0,42,0,8.4
rsc/src/test/java/com/cloudera/livy/rsc/TestSparkClient.java,74,0,0,0,0,14.8
thriftserver/session/src/main/java/org/apache/livy/thriftserver/session/ColumnBuffer.java,0,0,0,44,67,22.2
client-http/src/main/java/com/cloudera/livy/client/http/LivyConnection.java,6,0,0,0,0,1.2
thriftserver/session/src/main/java/org/apache/livy/thriftserver/session/ThriftSessionState.java,0,0,0,1,8,1.8
thriftserver/session/src/main/java/org/apache/livy/thriftserver/session/ResultSet.java,0,0,0,0,76,15.2
rsc/src/main/java/com/cloudera/livy/rsc/driver/RSCDriver.java,13,0,0,0,0,2.6
client-common/src/main/java/com/cloudera/livy/client/common/ClientConf.java,0,61,0,0,0,12.2
rsc/src/main/java/com/cloudera/livy/rsc/rpc/Rpc.java,18,0,0,0,0,3.6
rsc/src/main/java/com/cloudera/livy/rsc/RSCConf.java,3,91,0,0,0,18.8
rsc/src/main/java/org/apache/livy/rsc/RSCClient.java,0,0,0,0,18,3.6
rsc/src/main/java/com/cloudera/livy/rsc/RSCClient.java,6,0,0,0,0,1.2
