Class,jena-2.10.0,jena-2.11.0,jena-2.12.0,jena-2.13.0,jena-3.0.0,jena-3.1.0,jena-3.2.0,jena-3.3.0,jena-3.4.0,jena-3.5.0,jena-3.6.0,jena-3.7.0,jena-3.8.0,jena-3.9.0,jena-3.10.0,jena-3.11.0,jena-3.12.0,jena-3.13.0,jena-3.14.0,jena-3.15.0,jena-3.16.0,jena-3.17.0,jena-4.0.0,jena-4.1.0,jena-4.2.0,jena-4.3.0,jena-4.4.0,jena-4.5.0,,average
jena-permissions/src/main/java/org/apache/jena/permissions/query/rewriter/OpRewriter.java,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.107142857
jena-text/testing/TextQuery/text-config-union.ttl,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.642857143
jena-arq/testing/ARQ/manifest-arq.ttl,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.214285714
jena-arq/src/main/java/org/apache/jena/riot/writer/WriterStreamRDFBlocks.java,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.142857143
jena-arq/src/main/java/org/apache/jena/atlas/csv/CSVTokenIterator.java,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4.464285714
jena-arq/src/main/java/org/apache/jena/sparql/core/NamedGraphWrapper.java,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.142857143
jena-db/jena-tdb2/src/main/java/org/apache/jena/tdb2/xloader/ProcBuildNodeTableX.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,,6.392857143
jena-arq/src/test/java/org/apache/jena/sparql/algebra/TestTransformOpExt.java,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.107142857
jena-text/src/test/java/org/apache/jena/query/text/TestDatasetWithSimpleAnalyzer.java,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.607142857
jena-arq/src/main/java/org/apache/jena/sparql/expr/RegexJava.java,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.428571429
jena-fuseki2/jena-fuseki-core/src/main/java/org/apache/jena/fuseki/system/FusekiLogging.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,,2.75
jena-db/jena-dboe-base/src/main/java/org/apache/jena/dboe/base/buffer/RecordBuffer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,,1.285714286
jena-db/jena-dboe-trans-data/src/main/java/org/apache/jena/dboe/trans/data/TransBinaryDataFile.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.071428571
jena-arq/testing/RIOT/Writer/writer-rt-26.trig,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.178571429
jena-security/src/test/java/org/apache/jena/security/graph/CrossIDGraphEventManagerTest.java,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.785714286
jena-text/src/test/java/org/apache/jena/query/text/TestSearchBeforeWriteOnDatasetWithLuceneTextIndex.java,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.75
jena-arq/src/main/java/org/apache/jena/sparql/sse/SSE.java,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.142857143
jena-arq/src/main/java/org/apache/jena/sparql/engine/iterator/QueryIterMinus.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,16,0,0,0,,0.714285714
jena-core/testing/modelReading/README_LICENSE,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.571428571
jena-arq/src/test/java/org/apache/jena/sparql/engine/iterator/TS_QueryIterators.java,0,0,0,0,33,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1.25
jena-tdb/src/main/java/org/apache/jena/tdb/solver/QueryEngineTDB.java,0,0,0,0,0,0,0,0,0,0,0,0,100,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.357142857
jena-examples/src/main/java/arq/examples/auth/ExAuth03_UpdateExecutionPW.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0.035714286
jena-arq/src/test/java/org/apache/jena/atlas/lib/TestFilenameProcessing.java,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.071428571
jena-fuseki2/jena-fuseki-core/src/main/webapp/js/app/qonsole-config.js,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.321428571
jena-core/src/main/java/org/apache/jena/system/JenaSubsystemLifecycle.java,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.5
