Class,release-1.1,release-1.2,release-1.3,release-1.4,release-1.5,release-1.6,release-1.7,release-1.8,release-1.9,release-1.10,release-1.12,release-1.13,release-1.14,release-1.15,release-1.16,release-1.17,release-1.18,release-2.0,release-2.1,release-2.2,release-2.3,release-2.4,average
src/plugin/headings/src/java/org/apache/nutch/parse/headings/HeadingsParseFilter.java,0,0,0,0,0,10,0,7,0,0,0,0,18,0,0,0,0,0,0,0,0,0,1.590909091
src/plugin/urlnormalizer-basic/src/java/org/apache/nutch/net/urlnormalizer/basic/BasicURLNormalizer.java,0,0,0,0,0,2,0,0,0,0,124,21,2,128,0,0,0,0,0,2,0,9,13.09090909
src/plugin/languageidentifier/src/java/org/apache/nutch/analysis/lang/HTMLLanguageParser.java,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.909090909
src/plugin/urlnormalizer-host/src/test/org/apache/nutch/net/urlnormalizer/host/TestHostURLNormalizer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0.409090909
src/java/org/apache/nutch/util/SuffixStringMatcher.java,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0.727272727
src/plugin/parse-tika/src/test/org/apache/nutch/parse/tika/TestOOParser.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0.272727273
src/java/org/apache/nutch/segment/SegmentPart.java,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.090909091
src/plugin/protocol-selenium/src/java/org/apache/nutch/protocol/selenium/HttpResponse.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.136363636
src/java/org/apache/nutch/api/NutchServer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1.045454545
src/java/org/apache/nutch/fetcher/FetcherOutputFormat.java,0,0,0,10,0,0,4,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1.681818182
src/java/org/apache/nutch/parse/ParseResult.java,0,0,0,0,0,0,0,0,0,0,0,0,2,40,0,0,0,0,0,0,0,0,1.909090909
src/plugin/protocol-httpclient/src/java/org/apache/nutch/protocol/httpclient/DummySSLProtocolSocketFactory.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.090909091
src/plugin/urlfilter-prefix/src/java/org/apache/nutch/urlfilter/prefix/PrefixURLFilter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,49,0,0,0,0,2,6.318181818
src/java/org/apache/nutch/crawl/SignatureComparator.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0.636363636
src/java/org/apache/nutch/util/CommandRunner.java,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0.272727273
src/plugin/index-replace/src/test/org/apache/nutch/indexer/replace/TestIndexReplace.java,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.090909091
src/plugin/jsoup-extractor/src/java/org/apache/nutch/parse/jsoup/extractor/JsoupHtmlParser.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.181818182
src/plugin/parse-html/src/test/org/apache/nutch/parse/html/TestHtmlParser.java,0,0,0,0,0,0,0,0,137,0,0,11,28,0,0,0,0,0,0,0,163,0,15.40909091
src/plugin/subcollection/src/java/org/apache/nutch/collection/Subcollection.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0.227272727
src/java/org/apache/nutch/util/CrawlCompletionStats.java,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,6,6,0,0,0,0,0,1.136363636
src/test/org/apache/nutch/segment/TestSegmentMergerCrawlDatums.java,0,0,0,0,0,0,0,356,61,0,0,0,0,0,0,0,0,0,0,0,0,0,18.95454545
src/java/org/apache/nutch/crawl/DbUpdateMapper.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0.954545455
src/plugin/urlnormalizer-slash/src/test/org/apache/nutch/net/urlnormalizer/slash/TestSlashURLNormalizer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0.409090909
src/plugin/parse-tika/src/test/org/apache/nutch/tika/TestDOMContentUtils.java,0,0,0,0,0,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0.818181818
src/java/org/apache/nutch/webui/client/model/NutchStatus.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.818181818
src/plugin/urlnormalizer-querystring/src/java/org/apache/nutch/net/urlnormalizer/querystring/QuerystringURLNormalizer.java,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.090909091
src/plugin/scoring-similarity/src/java/org/apache/nutch/scoring/similarity/util/LuceneAnalyzerUtil.java,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.090909091
src/java/org/apache/nutch/net/URLFilterChecker.java,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0.409090909
src/java/org/apache/nutch/util/StringUtil.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,2.227272727
src/java/org/apache/nutch/crawl/GeneratorReducer.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,2,2,0.545454545
src/plugin/protocol-interactiveselenium/src/java/org/apache/nutch/protocol/interactiveselenium/handlers/InteractiveSeleniumHandler.java,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.090909091
src/java/org/apache/nutch/storage/Host.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0.590909091
src/plugin/lib-http/src/java/org/apache/nutch/protocol/http/api/HttpRobotRulesParser.java,0,0,0,0,0,0,0,0,53,0,0,0,2,8,0,0,0,0,0,0,45,4,5.090909091
src/java/org/apache/nutch/plugin/Pluggable.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0.272727273
src/java/org/apache/nutch/indexer/solr/SolrIndexerJob.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,1.681818182
src/java/org/apache/nutch/net/protocols/Response.java,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,1.181818182
src/plugin/index-anchor/src/java/org/apache/nutch/indexer/anchor/AnchorIndexingFilter.java,0,0,0,0,0,14,0,0,0,0,0,0,2,0,0,0,0,0,20,0,5,2,1.954545455
src/java/org/apache/nutch/service/impl/ConfManagerImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.090909091
src/java/org/apache/nutch/util/ProtocolStatusStatistics.java,0,0,0,0,0,0,0,0,0,0,0,0,13,0,4,7,7,0,0,0,0,0,1.409090909
src/java/org/apache/nutch/parse/NutchSitemapParse.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.181818182
src/java/org/apache/nutch/plugin/PluginRepository.java,0,0,0,0,0,0,0,108,4,0,0,0,2,0,0,0,0,0,0,0,34,6,7
src/plugin/urlnormalizer-host/src/java/org/apache/nutch/net/urlnormalizer/host/HostURLNormalizer.java,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,52,28,0,0,0,0,0,3.818181818
src/plugin/lib-regex-filter/src/java/org/apache/nutch/urlfilter/api/RegexURLFilterBase.java,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0.727272727
src/java/org/apache/nutch/api/resources/ConfigResource.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.136363636
src/test/org/apache/nutch/crawl/TestInjector.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.181818182
src/java/org/apache/nutch/util/domain/TopLevelDomain.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.181818182
src/plugin/parse-metatags/src/test/org/apache/nutch/parse/TestMetaTagsParser.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.090909091
src/plugin/parse-html/src/java/org/apache/nutch/parse/html/HtmlParser.java,0,0,0,4,0,0,0,2,39,0,15,10,22,0,0,0,0,0,0,0,65,14,7.772727273
src/plugin/urlmeta/src/java/org/apache/nutch/indexer/urlmeta/URLMetaIndexingFilter.java,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0.272727273
src/java/org/apache/nutch/api/resources/AdminResource.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.136363636
src/java/org/apache/nutch/tools/FileDumper.java,0,0,0,0,0,0,0,0,0,167,266,0,6,0,0,0,0,0,0,0,0,0,19.95454545
src/plugin/indexer-csv/src/test/org/apache/nutch/indexwriter/csv/TestCSVIndexWriter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,0,0,0,0,0,1.227272727
src/java/org/apache/nutch/util/SitemapProcessor.java,0,0,0,0,0,0,0,0,0,0,0,0,27,110,0,4,2,0,0,0,0,0,6.5
src/plugin/parse-metatags/src/java/org/apache/nutch/parse/metatags/MetaTagsParser.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,1
src/java/org/apache/nutch/util/URLUtil.java,0,0,0,102,0,37,0,28,59,16,0,0,41,0,0,0,0,0,0,6,97,83,21.31818182
src/plugin/indexer-elastic-rest/src/java/org/apache/nutch/indexwriter/elasticrest/ElasticRestIndexWriter.java,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,1.272727273
