Class,release-0.3.0,release-0.4.0,release-0.5.0,release-0.6.0,release-0.7.0,release-0.8.0,release-0.9.0,release-0.10.0,release-0.11.0,release-0.12.0,release-0.13.0,release-0.14.0,release-0.15.0,release-0.16.0,release-0.17.0,,average
src/org/apache/pig/newplan/logical/relational/LOUnion.java,0,0,0,0,0,5,19,56,0,0,0,80,0,0,0,,10.66666667
contrib/zebra/src/test/e2e/mergeJoin/readme,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,,0.8
src/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/ProgressableReporter.java,0,0,0,0,0,0,0,18,18,0,0,0,0,13,0,,3.266666667
test/org/apache/pig/test/TestPigStorage.java,0,0,0,0,66,75,9,103,83,64,56,3,0,108,31,,39.86666667
src/org/apache/pig/builtin/LAST_INDEX_OF.java,0,0,0,0,0,18,18,7,0,0,0,0,0,0,0,,2.866666667
src/org/apache/pig/scripting/ScriptEngine.java,0,0,0,0,0,0,6,4,28,4,4,0,0,14,14,,4.933333333
src/docs/src/documentation/conf/cli.xconf,0,0,0,0,0,327,327,0,0,0,0,0,0,0,0,,43.6
test/e2e/pig/streaming/PigStreaming.pl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0.133333333
src/org/apache/pig/builtin/REPLACE.java,0,0,0,0,0,20,20,6,0,0,0,0,0,0,0,,3.066666667
src/org/apache/pig/StoreFunc.java,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,,0.8
contrib/zebra/src/test/e2e/multi-query/filterandgroup_wrong.pig,0,0,0,0,0,0,0,0,0,0,33,33,0,0,0,,4.4
contrib/zebra/src/test/org/apache/hadoop/zebra/mapred/TableMRSortedTableZebraKeyGenerator.java,0,0,0,0,0,0,0,0,0,0,194,194,0,0,0,,25.86666667
contrib/zebra/src/test/stress/stress_join_03.pig,0,0,0,0,0,0,0,0,0,0,39,39,0,0,0,,5.2
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/math/EXP.java,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,,0.8
src/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/partitioners/MalFormedProbVecException.java,0,0,0,0,0,51,51,0,0,0,0,0,0,0,0,,6.8
test/org/apache/pig/parser/TestQueryLexer.java,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,,1.8
contrib/zebra/src/test/org/apache/hadoop/zebra/pig/TestMergeJoinPrune.java,0,0,0,0,0,3,3,0,0,0,537,537,0,0,0,,72
test/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/TestInputSizeReducerEstimator.java,0,0,0,0,0,0,0,0,0,2,15,0,0,28,0,,3
contrib/zebra/src/test/org/apache/hadoop/zebra/pig/TestOrderPreserveMultiTableGlob.java,0,0,0,0,0,0,0,0,0,0,243,243,0,0,0,,32.4
contrib/zebra/src/test/org/apache/hadoop/zebra/pig/TestUnionMixedTypes.java,0,0,0,0,0,0,0,0,0,0,433,433,0,0,0,,57.73333333
test/e2e/pig/udfs/java/org/apache/pig/test/udf/evalfunc/DummyContextUDF.java,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,,2.666666667
ivy/pig.pom,0,0,0,0,0,216,216,10,0,149,0,0,0,0,0,,39.4
test/org/apache/pig/tez/TestSecondarySortTez.java,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0.133333333
src/org/apache/pig/backend/hadoop/executionengine/tez/plan/operator/POValueOutputTez.java,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,,0.8
test/org/apache/pig/test/TestPushDownForeachFlatten.java,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,,2.533333333
test/org/apache/pig/test/data/GoldenFiles/tez/TEZC-Limit-3.gld,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,,0.533333333
contrib/zebra/src/test/org/apache/hadoop/zebra/pig/TestBasicTableSourceTableIndex.java,0,0,0,0,0,0,0,0,0,0,205,205,0,0,0,,27.33333333
test/org/apache/pig/test/TestPigContext.java,0,0,0,0,0,26,26,7,0,18,0,5,0,0,0,,5.466666667
src/org/apache/pig/backend/hadoop/executionengine/tez/optimizers/ParallelismSetter.java,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,,10
test/org/apache/pig/test/TestAccumulator.java,0,0,0,0,0,35,226,0,0,0,36,5,4,0,0,,20.4
contrib/zebra/src/test/org/apache/hadoop/zebra/mapreduce/TestTypeCheck.java,0,0,0,0,0,0,0,0,0,0,232,232,0,0,0,,30.93333333
src/org/apache/pig/backend/hadoop/executionengine/tez/plan/TezPOPackageAnnotator.java,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,,3.8
test/org/apache/pig/test/TestImplicitSplit.java,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,,1.466666667
src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/PODemux.java,0,0,0,0,0,26,36,0,0,0,0,0,0,0,0,,4.133333333
test/org/apache/pig/test/TestNewPlanListener.java,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,,0.266666667
src/org/apache/pig/impl/builtin/FindQuantiles.java,0,0,0,0,0,0,0,0,16,0,0,9,0,0,0,,1.666666667
src/org/apache/pig/newplan/logical/relational/LogicalRelationalOperator.java,0,0,0,0,0,9,9,0,0,32,0,0,0,0,0,,3.333333333
test/org/apache/pig/test/TestPigScriptParser.java,0,0,0,0,0,0,0,40,0,0,0,2,2,78,2,,8.266666667
src/org/apache/pig/backend/hadoop/executionengine/physicalLayer/relationalOperators/JoinPackager.java,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,,16.53333333
test/org/apache/pig/test/data/GoldenFiles/tez/TEZC-Union-6.gld,0,0,0,0,0,0,0,0,0,0,0,0,20,10,4,,2.266666667
src/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/PigTupleSortComparator.java,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,,2.066666667
src/org/apache/pig/pen/IllustratorAttacher.java,0,0,0,0,0,0,476,22,0,0,106,0,0,0,0,,40.26666667
contrib/zebra/src/test/e2e/pruning/merge2.pig,0,0,0,0,0,0,0,0,0,0,42,42,0,0,0,,5.6
src/org/apache/pig/builtin/TRIM.java,0,0,0,0,0,16,16,9,0,0,0,0,0,0,0,,2.733333333
src/org/apache/pig/builtin/RoundRobinPartitioner.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,0.733333333
src/org/apache/pig/backend/hadoop/executionengine/mapReduceLayer/PigStatsOutputSizeReader.java,0,0,0,0,0,0,0,0,0,55,7,1,0,0,0,,4.2
contrib/zebra/src/test/e2e/pruning/join2.pig,0,0,0,0,0,0,0,0,0,0,29,29,0,0,0,,3.866666667
test/org/apache/pig/test/TestInputOutputFileValidator.java,0,0,0,0,0,49,49,0,7,0,10,0,0,0,0,,7.666666667
test/perf/pigmix/build.xml,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,,0.666666667
contrib/piggybank/java/src/main/java/org/apache/pig/piggybank/evaluation/math/NEXTUP.java,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,,0.266666667
test/org/apache/pig/test/data/GoldenFiles/tez/TEZC-MQ-1-OPTOFF.gld,0,0,0,0,0,0,0,0,0,0,0,0,30,6,0,,2.4
src/org/apache/pig/data/BinSedesTuple.java,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,,0.933333333
src/org/apache/pig/backend/hadoop/BigIntegerWritable.java,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,,0.666666667
src/org/apache/pig/tools/pigstats/InputStats.java,0,0,0,0,0,11,11,2,0,0,30,0,0,0,0,,3.6
