Class,REL_1_5_1,REL_2_5_1,REL_3_0,REL_3_1_FINAL,REL_3_2_FINAL,REL_3_5-FINAL,REL_3_6,REL_3_7,REL_3_8_FINAL,REL_3_9,REL_3_10_FINAL,REL_3_11_FINAL,REL_3_12_FINAL,REL_3_13_FINAL,REL_3_14_FINAL,REL_3_15_FINAL,REL_3_16_FINAL,REL_3_17_FINAL,REL_4_0_0_FINAL,REL_4_1_0,REL_5_0_0,REL_5_1_0,REL_5_2_0,REL_5_2_2,,average
src/java/org/apache/poi/ss/formula/LazyAreaEval.java,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.541666667
src/java/org/apache/poi/ss/formula/eval/UnaryPlusEval.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,,0.666666667
src/ooxml/java/org/apache/poi/xssf/usermodel/XSSFRichTextString.java,0,0,0,0,0,0,0,0,16,0,0,0,2,5,0,13,9,0,0,0,55,0,0,0,,4.166666667
src/java/org/apache/poi/hssf/record/pivottable/ViewFieldsRecord.java,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.791666667
src/java/org/apache/poi/hssf/dev/RecordLister.java,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,0.083333333
src/testcases/org/apache/poi/ss/formula/functions/TestIndirectFunctionFromSpreadsheet.java,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.458333333
src/java/org/apache/poi/hssf/record/DeltaRecord.java,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.083333333
src/ooxml/java/org/apache/poi/xslf/usermodel/XSLFTextShape.java,0,0,0,0,0,0,0,0,0,0,36,19,0,0,0,0,0,0,8,0,13,0,0,0,,3.166666667
src/examples/src/org/apache/poi/crypt/examples/AesZipFileZipEntrySource.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,,6.125
src/ooxml/java/org/apache/poi/xddf/usermodel/XDDFColorPreset.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,,0.291666667
src/java/org/apache/poi/hssf/record/DrawingRecord.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,,0.333333333
src/examples/src/org/apache/poi/xslf/usermodel/BarChartDemo.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0.083333333
src/java/org/apache/poi/poifs/storage/DocumentBlock.java,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,,0.5
src/ooxml/java/org/apache/poi/xslf/usermodel/RenderableShape.java,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,,1.708333333
src/testcases/org/apache/poi/hssf/record/TestTextObjectBaseRecord.java,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.833333333
src/testcases/org/apache/poi/hssf/record/pivot/AllPivotRecordTests.java,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.583333333
src/ooxml/testcases/org/apache/poi/xssf/usermodel/TestXSSFVMLDrawing.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,,0.166666667
src/testcases/org/apache/poi/hssf/record/formula/eval/TestRangeEval.java,0,0,0,0,95,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8.958333333
src/scratchpad/src/org/apache/poi/hwpf/QuickTest.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0.041666667
src/java/org/apache/poi/ss/formula/eval/forked/ForkedEvaluationSheet.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,,0.333333333
