Class,Xerces-J_1_1_0,Xerces-J_1_2_0,Xerces-J_1_3_0,Xerces-J_1_4_0,Xerces-J_2_0_0,Xerces-J_2_1_0,Xerces-J_2_2_0,Xerces-J_2_3_0,Xerces-J_2_4_0,Xerces-J_2_5_0,Xerces-J_2_6_0,Xerces-J_2_7_0,Xerces-J_2_8_0,Xerces-J_2_9_0,Xerces-J_2_10_0,Xerces-J_2_11_0,Xerces-J_2_12_0,,average
src/org/apache/xerces/dom/CoreDocumentImpl.java,0,0,0,0,0,0,0,0,0,0,0,79,8,3,150,0,0,,14.11764706
src/org/apache/xerces/impl/xs/SubstitutionGroupHandler.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,16,0,,5.058823529
src/org/apache/xerces/impl/XMLNSDocumentScannerImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,0.294117647
src/org/apache/xerces/jaxp/validation/DOMResultAugmentor.java,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,0.117647059
src/org/apache/xerces/impl/xs/XSConstraints.java,0,0,0,0,0,0,0,0,0,0,0,2,0,98,0,0,0,,5.882352941
src/org/apache/xerces/dom/TreeWalkerImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,,2.470588235
src/org/apache/xerces/impl/xs/traversers/XSDSimpleTypeTraverser.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0.117647059
src/org/apache/xerces/impl/xs/traversers/XSDHandler.java,0,0,0,0,0,0,0,0,0,0,0,232,0,0,511,0,0,,43.70588235
src/org/apache/html/dom/HTMLSelectElementImpl.java,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,,0.705882353
src/org/apache/xerces/impl/xs/traversers/SchemaContentHandler.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,0.176470588
src/org/apache/xerces/impl/dtd/XMLDTDProcessor.java,0,0,0,0,0,0,0,0,0,0,0,0,95,29,0,0,0,,7.294117647
src/org/apache/html/dom/HTMLBuilder.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,,0.647058824
src/org/apache/xerces/impl/xs/XSAttributeUseImpl.java,0,0,0,0,0,0,0,0,0,0,0,3,0,6,2,0,0,,0.647058824
src/org/apache/xerces/impl/xs/models/CMBuilder.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,,9.705882353
src/org/apache/xerces/xinclude/MultipleScopeNamespaceSupport.java,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,,1.058823529
src/org/apache/wml/dom/WMLDOMImplementationImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,,1.588235294
src/org/apache/xerces/impl/dtd/BalancedDTDGrammar.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,0.117647059
src/org/apache/html/dom/HTMLMapElementImpl.java,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,,0.882352941
tools/src/XJavac.java,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,11,,1.411764706
src/org/apache/xerces/dom/EntityReferenceImpl.java,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,,1.117647059
src/org/apache/xml/serialize/BaseMarkupSerializer.java,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,,2.470588235
src/org/apache/xerces/impl/xs/traversers/XSDAbstractParticleTraverser.java,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,,0.352941176
src/org/apache/xerces/impl/msg/XMLSerializerMessages.properties,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,,0.411764706
src/org/apache/xerces/impl/xs/models/CMNodeFactory.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,,0.470588235
src/org/apache/xerces/jaxp/validation/DOMValidatorHelper.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,,1.235294118
src/org/apache/xerces/impl/xs/XSComplexTypeDecl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,0,0,,1.588235294
src/org/apache/xerces/impl/dv/xs/DayDV.java,0,0,0,0,0,0,0,0,0,0,0,26,0,0,6,0,0,,1.882352941
src/org/apache/xerces/impl/xpath/XPath.java,0,0,0,0,0,0,0,0,0,0,0,0,0,47,4,0,0,,3
src/org/apache/xerces/jaxp/datatype/XMLGregorianCalendarImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,39,0,3,0,0,,2.470588235
src/org/apache/xerces/impl/xs/identity/XPathMatcher.java,0,0,0,0,0,0,0,0,0,0,0,0,0,56,7,0,0,,3.705882353
src/org/apache/xerces/impl/xs/XSModelImpl.java,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,,3.705882353
src/org/apache/xerces/dom/PSVIDocumentImpl.java,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,,1.352941176
src/org/apache/xerces/impl/XMLScanner.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,,0.470588235
src/org/apache/xml/serialize/XMLSerializer.java,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,,1.470588235
src/org/apache/xerces/impl/xs/XSGroupDecl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,0,0,,1.588235294
src/org/apache/xerces/impl/xpath/regex/CaseInsensitiveMap.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,,10.05882353
src/org/apache/xerces/dom/ProcessingInstructionImpl.java,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,,0.470588235
src/org/apache/xerces/dom/DeferredElementNSImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4,0,0,,1.705882353
src/org/apache/xml/serialize/Encodings.java,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,0.117647059
src/org/apache/html/dom/HTMLTableSectionElementImpl.java,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,,0.647058824
src/org/apache/xerces/impl/xs/traversers/XSDWildcardTraverser.java,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,,0.941176471
src/org/apache/html/dom/HTMLAreaElementImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0.117647059
src/org/apache/xerces/impl/xpath/regex/RegexParser.java,0,0,0,0,0,0,0,0,0,0,0,0,0,18,98,4,3,,7.235294118
src/org/apache/html/dom/HTMLDocumentImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,0,0,,2.117647059
src/org/apache/xerces/impl/xpath/regex/Token.java,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,0,1,,1.823529412
src/org/apache/xerces/impl/XMLDocumentFragmentScannerImpl.java,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16,0,0,,1.058823529
src/org/apache/xerces/dom/PSVIElementNSImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,0.176470588
src/org/apache/xerces/dom/DOMConfigurationImpl.java,0,0,0,0,0,0,0,0,0,0,0,66,0,23,38,0,0,,7.470588235
src/org/apache/wml/dom/WMLDocumentImpl.java,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,,0.529411765
